Attribute,Value
Symbol,CMCSA
Name,Comcast Corporation
Industry,Telecom Services
Sector,Communication Services
Country,United States
Market Cap,132471676928
Description,"Comcast Corporation operates as a media and technology company worldwide. It operates through Residential Connectivity & Platforms, Business Services Connectivity, Media, Studios, and Theme Parks segments. The Residential Connectivity & Platforms segment provides residential broadband and wireless connectivity services, residential and business video services, sky-branded entertainment television networks, and advertising. The Business Services Connectivity segment offers connectivity services for small business locations, which include broadband, wireline voice, and wireless services; and ethernet network services for medium-sized customers and larger enterprises. The Media segment operates NBCUniversal's national and regional cable networks; the NBC and Telemundo broadcast networks and owned local broadcast television stations; and Peacock, a direct-to-consumer streaming services. It also operates international television networks comprising the Sky Sports networks, as well as other digital properties. The Studios segment operates NBCUniversal and Sky film and television studio production and distribution operations. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; Osaka, Japan; and Beijing, China. The company also offers a consolidated streaming platforms under the Philadelphia Flyers and the Wells Fargo Center arena in Philadelphia, Pennsylvania; and Xumo. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania."
Website,https://corporate.comcast.com
Full Time Employees,182000
Currency,USD
Previous Close,35.33
Open,35.27
Bid,33.54
Ask,37.16
Day's Range,35.195 - 35.655
52 Week Range,31.44 - 45.31
Volume,20573873
Avg. Volume,26767073
Market Cap (intraday),132471676928
Beta (5Y Monthly),0.967
PE Ratio (TTM),8.738916
EPS (TTM),4.06
Earnings Date,1745492400
Forward Dividend & Yield,1.32 (3.72)
Ex-Dividend Date,1743552000
1y Target Est,40.17259
