Attribute,Value
Symbol,CMG
Name,"Chipotle Mexican Grill, Inc."
Industry,Restaurants
Sector,Consumer Cyclical
Country,United States
Market Cap,70493872128
Description,"Chipotle Mexican Grill, Inc., together with its subsidiaries, owns and operates Chipotle Mexican Grill restaurants. It sells food and beverages through offering burritos, burrito bowls, quesadillas, tacos, and salads, as well as lifestyle bowls, kids's meal, chips, sides, and drinks. The company also provides delivery and related services its app and website. It has operations in the United States, Canada, France, Germany, Dubai, and the United Kingdom. Chipotle Mexican Grill, Inc. was founded in 1993 and is headquartered in Newport Beach, California."
Website,https://www.chipotle.com
Full Time Employees,130504
Currency,USD
Previous Close,52.04
Open,52.03
Bid,52.38
Ask,52.5
Day's Range,51.37 - 52.45
52 Week Range,44.46 - 69.2614
Volume,8730626
Avg. Volume,14377411
Market Cap (intraday),70493872128
Beta (5Y Monthly),1.116
PE Ratio (TTM),46.300884
EPS (TTM),1.13
Earnings Date,1745439003
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,57.68129
