Attribute,Value
Symbol,CMS
Name,CMS Energy Corporation
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,21378392064
Description,"CMS Energy Corporation operates as an energy company primarily in Michigan. The company operates through three segments: Electric Utility; Gas Utility; and NorthStar Clean Energy. The Electric Utility segment is involved in the generation, purchase, distribution, and sale of electricity. This segment generates electricity through coal, wind, gas, renewable energy, oil, and nuclear sources. Its distribution system comprises 270 miles of high-voltage distribution overhead lines; 4 miles of high-voltage distribution underground lines; 4,646 miles of high-voltage distribution overhead lines; 18 miles of high-voltage distribution underground lines; 81,924 miles of electric distribution overhead lines; 9,775 miles of underground distribution lines; and 1,098 substations. The Gas Utility segment engages in the purchase, transmission, storage, distribution, and sale of natural gas, which includes 2,342 miles of transmission lines; 15 gas storage fields; 28,368 miles of distribution mains; and 8 compressor stations. The NorthStar Clean Energy segment is involved in the independent power production and marketing, including the development and operation of renewable generation. The company serves 1.9 million electric and 1.8 million gas customers, including residential, commercial, and diversified industrial customers. The company was incorporated in 1987 and is headquartered in Jackson, Michigan."
Website,https://www.cmsenergy.com
Full Time Employees,8324
Currency,USD
Previous Close,70.9
Open,70.86
Bid,71.37
Ask,73.2
Day's Range,70.74 - 71.575
52 Week Range,58.5 - 76.45
Volume,2410280
Avg. Volume,2785680
Market Cap (intraday),21378392064
Beta (5Y Monthly),0.408
PE Ratio (TTM),21.14497
EPS (TTM),3.38
Earnings Date,1745490606
Forward Dividend & Yield,2.17 (3.04)
Ex-Dividend Date,1746748800
1y Target Est,75.07882
