Attribute,Value
Symbol,CPRT
Name,"Copart, Inc."
Industry,Specialty Business Services
Sector,Industrials
Country,United States
Market Cap,61675376640
Description,"Copart, Inc. provides online auctions and vehicle remarketing services in the United States, Canada, the United Kingdom, Brazil, the Republic of Ireland, Germany, Finland, the United Arab Emirates, Oman, Bahrain, and Spain. It offers a range of services for processing and selling vehicles over the internet through its virtual bidding third generation internet auction-style sales technology to vehicle sellers, insurance companies, banks and finance companies, charities, fleet operators, dealers, vehicle rental companies, and individuals. The company's services include online seller access, salvage estimation, estimating, end-of-life vehicle processing, transportation, vehicle inspection stations, on-demand reporting, title processing and express, loan payoff, flexible vehicle processing programs, buy it now, sales process, and dealer services. Its services also comprise services to sell vehicles through BluCar, CashForCars.com, CashForCars.ca, CashForCars.de, CashForCars.co.uk, and Cash-for-cars.ie; Copart Recycling service, which allows the public to purchase parts from salvaged and end-of-life vehicles; copart 360, a proprietary technology that captures clear 360-degree views of interiors and exteriors of cars, trucks, and vans; and membership tiers for those registering to buy vehicles through Copart.com. In addition, it provides IntelliSeller, an automated tool leveraging its vast and detailed vehicle and sales data to assist its sellers in making vital auction decisions; Purple Wave Inc., that offers wholesale construction, agriculture, and fleet remarketing services through no-reserve online auctions; non-salvage powersport vehicle remarketing services through live and online auction platforms. The company sells its products principally to licensed vehicle dismantlers, rebuilders, repair licensees, used vehicle dealers, and exporters, as well as to the public. Copart, Inc. was incorporated in 1982 and is headquartered in Dallas, Texas."
Website,https://www.copart.com
Full Time Employees,13086
Currency,USD
Previous Close,62.97
Open,63.41
Bid,58.0
Ask,68.12
Day's Range,62.74 - 63.85
52 Week Range,48.05 - 64.38
Volume,4624916
Avg. Volume,5089944
Market Cap (intraday),61675376640
Beta (5Y Monthly),1.202
PE Ratio (TTM),42.84564
EPS (TTM),1.49
Earnings Date,1747944000
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,61.8875
