Attribute,Value
Symbol,CSGP
Name,"CoStar Group, Inc."
Industry,Real Estate Services
Sector,Real Estate
Country,United States
Market Cap,32481079296
Description,"CoStar Group, Inc. provides information, analytics, and online marketplace services in the United States, Canada, Europe, the Asia Pacific, and Latin America. It offers CoStar Property that provides inventory of office, industrial, retail, multifamily, hospitality, and student housing properties and land; CoStar Leasing, a data on lease transactions and tools to manage user-entered lease data; CoStar Sales, a database of commercial real estate sales transactions; CoStar Owners provides detailed portfolio information; CoStar Markets to view and report on market and submarket trends; and CoStar Tenant that provides tenant information. The company also provides CoStar Benchmarking allows hotels to measure performance against competitors; CoStar Lender, a tool for lenders to manage loan portfolios and risk; and real estate and lease management technology solutions, such as lease administration, lease accounting, and abstraction services. In addition, it offers Apartamentos.com, an apartment marketing sites; LoopNet.com, a commercial property marketing sites; Homes.com, a homes for sale listings site; Ten-X, an online auction platform for commercial real estate; Land.com, a marketplace for rural land sales; and BizBuySell.com, a marketplace for operating businesses and franchises for sale. It serves sales, leasing, and mortgage brokers; property, real estate investment trust, insurance companies, and asset managers; and government agencies, property owners, mortgage-backed security issuers, appraisers, design and construction professionals, pension fund managers, real estate developers, reporters tenant vendors, bankers, building services vendors, mortgage bankers, communications providers, retailers, institutional advisors, hospitality owners, investors, and real estate agents. The company was founded in 1987 and is headquartered in Arlington, Virginia."
Website,https://www.costargroup.com
Full Time Employees,6593
Currency,USD
Previous Close,76.05
Open,76.62
Bid,71.04
Ask,82.19
Day's Range,75.85 - 77.25
52 Week Range,68.26 - 87.86
Volume,2618736
Avg. Volume,3807626
Market Cap (intraday),32481079296
Beta (5Y Monthly),0.893
PE Ratio (TTM),274.96426
EPS (TTM),0.28
Earnings Date,1745959320
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,87.69667
