Attribute,Value
Symbol,DASH
Name,"DoorDash, Inc."
Industry,Internet Content & Information
Sector,Communication Services
Country,United States
Market Cap,85596291072
Description,"DoorDash, Inc., together with its subsidiaries, operates a commerce platform that connects merchants, consumers, and independent contractors in the United States and internationally. The company operates DoorDash Marketplace and Wolt Marketplace, which provide various services, such as customer acquisition, demand generation, order fulfillment, merchandising, payment processing, and customer support. It also offers membership programs, including DashPass and Wolt+; and DoorDash Drive On-Demand and Wolt Drive, which are white-label delivery fulfillment services, as well as provides services that help merchants establish online ordering, build branded mobile apps, enable tableside order and pay, and enhance customer support. The company was formerly known as Palo Alto Delivery Inc. and changed its name to DoorDash, Inc. in 2015. DoorDash, Inc. was founded in 2013 and is headquartered in San Francisco, California."
Website,https://www.doordash.com
Full Time Employees,23700
Currency,USD
Previous Close,197.1
Open,198.608
Bid,201.69
Ask,202.28
Day's Range,196.83 - 202.63
52 Week Range,99.32 - 215.245
Volume,4133609
Avg. Volume,6260363
Market Cap (intraday),85596291072
Beta (5Y Monthly),1.679
PE Ratio (TTM),255.6962
EPS (TTM),0.79
Earnings Date,1746529201
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,216.27243
