Attribute,Value
Symbol,DELL
Name,Dell Technologies Inc.
Industry,Computer Hardware
Sector,Technology
Country,United States
Market Cap,79686467584
Description,"Dell Technologies Inc. designs, develops, manufactures, markets, sells, and supports various comprehensive and integrated solutions, products, and services in the Americas, Europe, the Middle East, Asia, and internationally. The company operates in two segments, Infrastructure Solutions Group (ISG) and Client Solutions Group (CSG). The ISG segment provides modern and traditional storage solutions, including all-flash arrays, scale-out file, object platforms, hyper-converged infrastructure, and software-defined storage; and general-purpose and AI-optimized servers. This segment also offers networking products and services comprising wide area network infrastructure, data center and edge networking switches, and cables and optics that help its business customers to transform and modernize their infrastructure and complementing its server and storage solutions; and software, peripherals, and services, including consulting and support, and deployment. The CSG segment provides notebooks, desktops, and workstations and branded peripherals that include displays, docking stations, keyboards, mice, webcam and audio devices, and third-party software and peripherals; and configuration, support and deployment, and extended warranties services. The company is involved in originating, collecting, and servicing customer financing arrangements; and offers payment and consumption solutions and services, such as as-a-Service, subscription, utility, leases, and loans, as well as fixed-term loans. It serves enterprises, governmental agencies and other public institutions, educational institutions, healthcare organizations, small and medium-sized businesses, and consumers. The company was formerly known as Denali Holding Inc. and changed its name to Dell Technologies Inc. in August 2016. Dell Technologies Inc. was founded in 1984 and is headquartered in Round Rock, Texas."
Website,https://www.dell.com
Full Time Employees,108000
Currency,USD
Previous Close,110.87
Open,111.5
Bid,111.55
Ask,112.68
Day's Range,111.15 - 114.6
52 Week Range,66.25 - 179.7
Volume,4764355
Avg. Volume,8203315
Market Cap (intraday),79686467584
Beta (5Y Monthly),1.064
PE Ratio (TTM),17.898119
EPS (TTM),6.38
Earnings Date,1748552400
Forward Dividend & Yield,2.1 (1.84)
Ex-Dividend Date,1745280000
1y Target Est,126.36739
