Attribute,Value
Symbol,DFS
Name,Discover Financial Services
Industry,Credit Services
Sector,Financial Services
Country,United States
Market Cap,50343182336
Description,"Discover Financial Services, through its subsidiaries, provides digital banking products and services, and payment services in the United States. It operates in two segments, Digital Banking and Payment Services. The Digital Banking segment offers Discover-branded credit cards to individuals; personal loans, home loans, and deposit products; and direct-to-consumer deposit products comprising savings accounts, certificates of deposit, money market accounts, IRA certificates of deposit, IRA savings accounts and checking accounts, and sweep accounts. The Payment Services segment operates the PULSE to access automated teller machines (ATMs), debit, and electronic funds transfer network; Diners Club, a payments network; and Network Partners business, which provides payment transaction processing and settlement, merchant acquisition, ATM access, and related payments services in the global network. Discover Financial Services was incorporated in 1960 and is headquartered in Riverwoods, Illinois."
Website,https://www.discover.com
Full Time Employees,21000
Currency,USD
Previous Close,200.48
Open,200.55
Bid,180.0
Ask,200.42
Day's Range,198.7 - 203.02
52 Week Range,119.95 - 207.42
Volume,31267850
Avg. Volume,2878917
Market Cap (intraday),50343182336
Beta (5Y Monthly),1.146
PE Ratio (TTM),10.686432
EPS (TTM),18.72
Earnings Date,1745439540
Forward Dividend & Yield,2.8 (1.4)
Ex-Dividend Date,1747958400
1y Target Est,198.6923
