Attribute,Value
Symbol,DIS
Name,Walt Disney Company (The)
Industry,Entertainment
Sector,Communication Services
Country,United States
Market Cap,203900796928
Description,"The Walt Disney Company operates as an entertainment company worldwide. It operates through three segments: Entertainment, Sports, and Experiences. The company produces and distributes film and television content under the ABC Television Network, Disney, Freeform, FX, Fox, National Geographic, and Star brand television channels, as well as ABC television stations and A+E television networks; and produces original content under the Disney Branded Television, FX Productions, Lucasfilm, Marvel, National Geographic Studios, Pixar, Searchlight Pictures, Twentieth Century Studios, 20th Television, and Walt Disney Pictures banners. It also offers direct-to-consumer streaming services through Disney+, Disney+ Hotstar, and Hulu; sports-related video streaming content through ESPN, ESPN on ABC, ESPN+ DTC, and Star; sale/licensing of film and episodic content to television and video-on-demand services; theatrical, home entertainment, and music distribution services; DVD and Blu-ray discs, electronic home video licenses, and VOD rental services; staging and licensing of live entertainment events; and post-production services. In addition, the company operates theme parks and resorts comprising Walt Disney World Resort, Disneyland Resort, Disneyland Paris, Hong Kong Disneyland Resort, Shanghai Disney Resort, Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney, as well as Aulani, a Disney resort and spa in Hawaii. Further, it licenses its intellectual property (IP) to a third party that owns and operates Tokyo Disney Resort; licenses trade names, characters, visual, literary, and other IP for use on merchandise, published materials, and games; operates a direct-to-home satellite distribution platform; sells branded merchandise through retail, online, and wholesale businesses; and develops and publishes books, comic books, and magazines. The Walt Disney Company was founded in 1923 and is based in Burbank, California."
Website,https://thewaltdisneycompany.com
Full Time Employees,177080
Currency,USD
Previous Close,112.22
Open,111.915
Bid,113.27
Ask,112.45
Day's Range,111.42 - 113.44
52 Week Range,80.1 - 118.63
Volume,7218195
Avg. Volume,11466457
Market Cap (intraday),203900796928
Beta (5Y Monthly),1.493
PE Ratio (TTM),23.146938
EPS (TTM),4.9
Earnings Date,1746615000
Forward Dividend & Yield,1.0 (0.88)
Ex-Dividend Date,1750723200
1y Target Est,123.85556
