Attribute,Value
Symbol,DUK
Name,Duke Energy Corporation (Holdin
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,90363904000
Description,"Duke Energy Corporation, through its subsidiaries, operates as an energy company in the United States. It operates through two segments: Electric Utilities and Infrastructure (EU&I); and Gas Utilities and Infrastructure (GU&I). The EU&I segment generates, transmits, distributes, and sells electricity to approximately 8.6 million customers in the Southeast and Midwest regions. It generates electricity through coal, hydroelectric, natural gas, oil, renewables, and nuclear fuel. This segment also engages in the wholesale of electricity to municipalities, electric cooperative utilities, and other load-serving entities. The GU&I segment distributes natural gas to approximately 1.7 million customers in the residential, commercial, industrial, and power generation natural gas sectors; and invests in pipeline transmission projects, renewable natural gas projects, and natural gas storage facilities. The company was formerly known as Duke Energy Holding Corp. and changed its name to Duke Energy Corporation in April 2006. Duke Energy Corporation was founded in 1904 and is headquartered in Charlotte, North Carolina."
Website,https://www.duke-energy.com
Full Time Employees,26413
Currency,USD
Previous Close,114.895
Open,115.06
Bid,115.05
Ask,116.25
Day's Range,114.59 - 116.3
52 Week Range,99.21 - 125.27
Volume,2961961
Avg. Volume,4248977
Market Cap (intraday),90363904000
Beta (5Y Monthly),0.376
PE Ratio (TTM),19.312292
EPS (TTM),6.02
Earnings Date,1746529200
Forward Dividend & Yield,4.18 (3.6)
Ex-Dividend Date,1747353600
1y Target Est,127.58125
