Attribute,Value
Symbol,DXCM
Name,"DexCom, Inc."
Industry,Medical Devices
Sector,Healthcare
Country,United States
Market Cap,33517307904
Description,"DexCom, Inc., a medical device company, focuses on the design, development, and commercialization of continuous glucose monitoring (CGM) systems in the United States and internationally. The company provides its systems for the management of diabetes and metabolic health by patients, caregivers, and clinicians. Its products include Dexcom G6 and Dexcom G7, integrated CGM systems for diabetes management; Dexcom Share, a remote monitoring system; Dexcom Real-Time API, which enables authorized third-party software developers to integrate real-time CGM data into their digital health apps and devices; Dexcom ONE, that is designed to replace finger stick blood glucose testing for diabetes treatment decisions; and Stelo, a new over-the-counter glucose biosensor designed for adults with prediabetes and Type 2 diabetes. The company has a collaboration and license agreement with Verily Life Sciences LLC and Verily Ireland Limited to develop blood-based or interstitial glucose monitoring products. It markets its products directly to endocrinologists, physicians, and diabetes educators. The company was incorporated in 1999 and is headquartered in San Diego, California."
Website,https://www.dexcom.com/global
Full Time Employees,10200
Currency,USD
Previous Close,85.67
Open,85.88
Bid,85.38
Ask,85.61
Day's Range,84.68 - 86.0
52 Week Range,57.52 - 132.09
Volume,3158415
Avg. Volume,4534853
Market Cap (intraday),33517307904
Beta (5Y Monthly),1.435
PE Ratio (TTM),64.270676
EPS (TTM),1.33
Earnings Date,1746129720
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,97.6848
