Attribute,Value
Symbol,D
Name,"Dominion Energy, Inc."
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,47560155136
Description,"Dominion Energy, Inc. provides regulated electricity and natural gas services in the United States. It operates through Dominion Energy Virginia, Dominion Energy South Carolina, and Contracted Energy segments. The Dominion Energy Virginia segment engages in the generation, distribution, and transmission of electricity to approximately 2.8 million residential, commercial, industrial, and governmental customers in Virginia and North Carolina. The Dominion Energy South Carolina segment generates, transmits, and distributes electricity to approximately 0.8 million customers in the central, southern, and southwestern portions of South Carolina; and distributes natural gas to approximately 0.5 million residential, commercial, and industrial customers in South Carolina. The Contracted Energy segment is involved in the nonregulated long-term contracted renewable electric generation fleet and renewable natural gas facility. As of December 31, 2024, the company's portfolio of assets included approximately 30.3 GW of electric generating capacity, 10,600 miles of electric transmission lines, and 79,700 miles of electric distribution lines. The company was formerly known as Dominion Resources, Inc. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia."
Website,https://www.dominionenergy.com
Full Time Employees,14700
Currency,USD
Previous Close,55.04
Open,54.97
Bid,55.77
Ask,55.66
Day's Range,54.71 - 55.79
52 Week Range,47.99 - 61.97
Volume,4679013
Avg. Volume,5424253
Market Cap (intraday),47560155136
Beta (5Y Monthly),0.57
PE Ratio (TTM),21.53282
EPS (TTM),2.59
Earnings Date,1746099000
Forward Dividend & Yield,2.67 (4.79)
Ex-Dividend Date,1748476800
1y Target Est,59.1825
