Attribute,Value
Symbol,EG
Name,"Everest Group, Ltd."
Industry,Insurance - Reinsurance
Sector,Financial Services
Country,Bermuda
Market Cap,14805477376
Description,"Everest Group, Ltd., through its subsidiaries, provides reinsurance and insurance products in the United States, Europe, and internationally. It operates in two segment, Insurance and Reinsurance. The company writes property and casualty reinsurance; treaty and facultative reinsurance products; and specialty lines of business through reinsurance brokers, as well as directly with ceding companies; and writes property and casualty insurance directly, as well as through brokers, surplus lines, and general agents. It also provides reinsurance products comprising mortgage, catastrophe, marine, aviation, engineering, professional line, credit and surety, motor, agriculture/crop, and political violence reinsurance products. In addition, the company offers commercial property and casualty insurance products through wholesale and retail brokers, surplus lines brokers, and program administrators. The company was formerly known as Everest Re Group, Ltd. and changed its name to Everest Group, Ltd. in July 2023.Everest Group, Ltd., was founded in 1973 and is headquartered in Hamilton, Bermuda."
Website,https://www.everestglobal.com
Full Time Employees,3037
Currency,USD
Previous Close,343.89
Open,343.91
Bid,323.94
Ask,365.07
Day's Range,343.065 - 349.675
52 Week Range,320.0 - 407.3
Volume,417158
Avg. Volume,422966
Market Cap (intraday),14805477376
Beta (5Y Monthly),0.578
PE Ratio (TTM),17.570923
EPS (TTM),19.81
Earnings Date,1746044100
Forward Dividend & Yield,8.0 (2.3)
Ex-Dividend Date,1748390400
1y Target Est,396.5
