Attribute,Value
Symbol,EL
Name,"Estee Lauder Companies, Inc. (T"
Industry,Household & Personal Products
Sector,Consumer Defensive
Country,United States
Market Cap,23445037056
Description,"The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. It offers skin care products, including moisturizers, serums, cleansers, toners, body care, exfoliators, acne care and oil correctors, facial masks, and sun care products; and makeup products, such as lipsticks, lip glosses, mascaras, foundations, eyeshadows, and powders, as well as compacts, brushes, and other makeup tools. The company also provides fragrance products in various forms comprising eau de parfum sprays and colognes, as well as lotions, powders, creams, candles, and soaps; and hair care products, including shampoos, conditioners, styling products, treatment, finishing sprays, and hair color products, as well as sells ancillary products and services. It offers its products under the Estée Lauder, Clinique, Origins, M·A·C, Bobbi Brown Cosmetics, La Mer, Aveda, Jo Malone London, TOM FORD, Too Faced, Dr.Jart+, and The Ordinary brands. The company sells its products through department stores, specialty-multi retailers, upscale perfumeries and pharmacies, and salons and spas; freestanding stores; its own and authorized retailer websites; third-party online malls; stores in airports; and duty-free locations. The Estée Lauder Companies Inc. was founded in 1946 and is headquartered in New York, New York."
Website,https://www.elcompanies.com
Full Time Employees,44020
Currency,USD
Previous Close,63.67
Open,64.77
Bid,64.28
Ask,64.7
Day's Range,63.7386 - 65.83
52 Week Range,48.37 - 134.63
Volume,4429447
Avg. Volume,4021034
Market Cap (intraday),23445037056
Beta (5Y Monthly),1.111
PE Ratio (TTM),
EPS (TTM),-2.42
Earnings Date,1746093600
Forward Dividend & Yield,1.4 (2.15)
Ex-Dividend Date,1748563200
1y Target Est,68.73115
