Attribute,Value
Symbol,EXE
Name,Expand Energy Corporation
Industry,Oil & Gas E&P
Sector,Energy
Country,United States
Market Cap,27134365696
Description,"Expand Energy Corporation operates as an independent natural gas production company in the United States. The company engages in acquisition, exploration, and development of properties to produce oil, natural gas, and natural gas liquids. It holds interests in the Marcellus Shale in the northern Appalachian Basin in Pennsylvania; the Marcellus and Utica Shales in Ohio and West Virginia; and the Haynesville and Bossier Shales in Louisiana. The company was formerly known as Chesapeake Energy Corporation and changed its name to Expand Energy Corporation in October 2024. Expand Energy Corporation was founded in 1989 and is based in Oklahoma City, Oklahoma."
Website,https://www.expandenergy.com
Full Time Employees,1500
Currency,USD
Previous Close,114.09
Open,114.9
Bid,104.77
Ask,123.16
Day's Range,113.28 - 114.9
52 Week Range,69.12 - 114.9
Volume,1919186
Avg. Volume,4797953
Market Cap (intraday),27134365696
Beta (5Y Monthly),0.44
PE Ratio (TTM),
EPS (TTM),-5.82
Earnings Date,1745956860
Forward Dividend & Yield,2.3 (2.02)
Ex-Dividend Date,1747267200
1y Target Est,126.26923
