Attribute,Value
Symbol,FCX
Name,"Freeport-McMoRan, Inc."
Industry,Copper
Sector,Basic Materials
Country,United States
Market Cap,54604320768
Description,"Freeport-McMoRan Inc. engages in the mining of mineral properties in North America, South America, and Indonesia. It primarily explores for copper, gold, molybdenum, silver, and other metals. The company's assets include the Grasberg minerals district in Indonesia; Morenci, Bagdad, Safford, Sierrita, and Miami in Arizona; Chino and Tyrone in New Mexico; and Henderson and Climax in Colorado, North America, as well as Cerro Verde in Peru and El Abra in Chile. The company was formerly known as Freeport-McMoRan Copper & Gold Inc. and changed its name to Freeport-McMoRan Inc. in July 2014. The company was incorporated in 1987 and is headquartered in Phoenix, Arizona."
Website,https://fcx.com
Full Time Employees,28500
Currency,USD
Previous Close,38.47
Open,38.09
Bid,37.45
Ask,38.04
Day's Range,36.99 - 38.12
52 Week Range,27.66 - 55.24
Volume,11739381
Avg. Volume,17729204
Market Cap (intraday),54604320768
Beta (5Y Monthly),1.646
PE Ratio (TTM),31.163935
EPS (TTM),1.22
Earnings Date,1745497800
Forward Dividend & Yield,0.6 (1.58)
Ex-Dividend Date,1744675200
1y Target Est,44.06947
