Attribute,Value
Symbol,FITB
Name,Fifth Third Bancorp
Industry,Banks - Regional
Sector,Financial Services
Country,United States
Market Cap,26459381760
Description,"Fifth Third Bancorp operates as the bank holding company for Fifth Third Bank, National Association that engages in the provision of a range of financial products and services in the United States. It operates through three segments: Commercial Banking, Consumer and Small Business Banking, and Wealth and Asset Management. The Commercial Banking segment offers credit intermediation, cash management, and financial services; lending and depository products; and cash management, foreign exchange and international trade finance, derivatives and capital markets services, asset-based lending, real estate finance, public finance, commercial leasing, and syndicated finance for business, government, and professional customers. Its Consumer and Small Banking segment provides a range of deposit and loan products to individuals and small businesses; home equity loans and lines of credit; credit cards; and cash management services. This segment also engages in the residential mortgage that include origination, retention and servicing of residential mortgage loans, sales and securitizations of loans, and hedging activities; indirect lending, including extending loans to consumers through automobile dealers, motorcycle dealers, powersport dealers, recreational vehicle dealers, and marine dealers; and home improvement and solar energy installation loans through contractors and installers. The Wealth & Asset Management segment provides various wealth management services for individuals, companies, and not-for-profit organizations. It also offers retail brokerage services to individual clients; and broker dealer services to the institutional marketplace. This segment also provides wealth planning, investment management, banking, insurance, and trust and estate services; and advisory services for institutional clients comprising middle market businesses, non-profits, states, and municipalities. Fifth Third Bancorp was founded in 1858 and is headquartered in Cincinnati, Ohio."
Website,https://www.53.com
Full Time Employees,18786
Currency,USD
Previous Close,39.49
Open,39.545
Bid,37.24
Ask,41.71
Day's Range,39.21 - 39.785
52 Week Range,32.25 - 49.07
Volume,3046309
Avg. Volume,5086900
Market Cap (intraday),26459381760
Beta (5Y Monthly),0.914
PE Ratio (TTM),12.584126
EPS (TTM),3.15
Earnings Date,1752755400
Forward Dividend & Yield,1.48 (3.73)
Ex-Dividend Date,1743379200
1y Target Est,43.82143
