Attribute,Value
Symbol,FOX
Name,Fox Corporation
Industry,Entertainment
Sector,Communication Services
Country,United States
Market Cap,24218097664
Description,"Fox Corporation operates as a news, sports, and entertainment company in the United States (U.S.). The company operates through four segments: Cable Network Programming, Television, Credible, and The FOX Studio Lot. The Cable Network Programming segment produces and licenses news and sports content for distribution through traditional cable television systems, direct broadcast satellite operators and telecommunication companies, virtual multi-channel video programming distributors, and other digital platforms primarily in the U.S. Television segment produces, acquires, markets, and distributes programming through the FOX broadcast network, advertising supported video-on-demand service Tubi, and operates power broadcast television stations including duopolies and other digital platform; and produces content for third parties. The Credible segment engages in the consumer finance marketplace. The FOX Studio Lot segment provides television and film production services along with office space, studio operation services and includes all operations of the facility. The company was incorporated in 2018 and is headquartered in New York, New York."
Website,https://www.foxcorporation.com
Full Time Employees,10200
Currency,USD
Previous Close,51.31
Open,51.31
Bid,51.76
Ask,51.92
Day's Range,51.02 - 51.86
52 Week Range,30.097 - 55.0
Volume,1308700
Avg. Volume,1352430
Market Cap (intraday),24218097664
Beta (5Y Monthly),0.522
PE Ratio (TTM),12.834158
EPS (TTM),4.04
Earnings Date,1747051220
Forward Dividend & Yield,0.54 (1.04)
Ex-Dividend Date,1741132800
1y Target Est,
