Attribute,Value
Symbol,GDDY
Name,GoDaddy Inc.
Industry,Software - Infrastructure
Sector,Technology
Country,United States
Market Cap,27101216768
Description,"GoDaddy Inc. engages in the design and development of cloud-based products in the United States and internationally. It operates in two segments: Applications and Commerce (A&C), and Core Platform (Core). The A&C segment offers applications products, including Websites + Marketing, a mobile-optimized online tool that enables customers to build websites and e-commerce enabled online stores; and Managed WordPress, a streamlined and optimized website building that allows customers to build and manage a WordPress site; Managed WooCommerce Stores to sell anything and anywhere online; and marketing tools and services, such as GoDaddy Studio mobile application, search engine optimization, Meta and Google My Business, and email and social media marketing designed to help businesses acquire and engage customers and create content. The segment also offers connected commerce comprising Smart Terminal, a dual screen all-in-one point-of-sale system that allows customers to manage in-store inventory and product catalogs and accept payments; GoDaddy Payments, a payment facilitator that enables customers to accept various forms of payments; and email service plans with a multi-feature web interface, and Microsoft 365 accounts that connects to customers' domains. The Core segment offers domain products, including primary registrations, domain aftermarket platform, and domain name add-ons, as well as GoDaddy Registry, a provider of domain name registry services; and hosting and security services comprising shared website hosting and virtual private servers, as well as security products with a suite of tools designed to help secure customers' online presence. The company serves small businesses, individuals, organizations, developers, designers, and domain investors. GoDaddy Inc. was founded in 1997 and is headquartered in Tempe, Arizona."
Website,https://www.godaddy.com
Full Time Employees,5518
Currency,USD
Previous Close,189.95
Open,190.43
Bid,189.81
Ask,189.92
Day's Range,188.415 - 190.4956
52 Week Range,135.03 - 216.0
Volume,1204171
Avg. Volume,1669753
Market Cap (intraday),27101216768
Beta (5Y Monthly),1.127
PE Ratio (TTM),36.647396
EPS (TTM),5.19
Earnings Date,1746129908
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,210.75221
