Attribute,Value
Symbol,GIS
Name,"General Mills, Inc."
Industry,Packaged Foods
Sector,Consumer Defensive
Country,United States
Market Cap,30189244416
Description,"General Mills, Inc. manufactures and markets branded consumer foods worldwide. The company operates through four segments: North America Retail; International; Pet; and North America Foodservice. It offers grain, ready-to-eat cereals, refrigerated yogurt, soup, meal kits, refrigerated and frozen dough products, dessert and baking mixes, bakery flour, frozen pizza and pizza snacks, snack bars, fruit and savory snacks, ice cream and frozen desserts, unbaked and fully baked frozen dough products, frozen hot snacks, ethnic meals, side dish mixes, frozen breakfast and entrees, nutrition bars, and frozen and shelf-stable vegetables. The company also manufactures and markets pet food products, including dog and cat food; and operates ice cream parlors. It markets its products under the Annie's, Betty Crocker, Bisquick, Blue Buffalo, Bugles, Cascadian Farm, Cheerios, Chex, Cinnamon Toast Crunch, Cocoa Puffs, Cookie Crisp, Dunkaroos, Edgard & Cooper, Fiber One, Fruit by the Foot, Fruit Gushers, Fruit Roll-Ups, Gardetto's, Gold Medal, Golden Grahams, Häagen-Dazs, Kitano, Kix, Lärabar, Latina, Lucky Charms, Muir Glen, Nature Valley, Nudges, Oatmeal Crisp, Old El Paso, Pillsbury, Progresso, Tastefuls, Total, Totino's , Trix, True Chews, True Solutions, Wanchai Ferry, Wheaties, Wilderness, and Yoki brands. The company sells its products to grocery stores, mass merchandisers, membership stores, natural food chains, drug, dollar and discount chains, e-commerce retailers, commercial and noncommercial foodservice distributors and operators, restaurants, convenience stores, and pet specialty stores. General Mills, Inc. was founded in 1866 and is headquartered in Minneapolis, Minnesota."
Website,https://www.generalmills.com
Full Time Employees,34000
Currency,USD
Previous Close,54.4
Open,54.57
Bid,55.0
Ask,55.18
Day's Range,54.19 - 55.195
52 Week Range,52.93 - 75.9
Volume,3043504
Avg. Volume,6007652
Market Cap (intraday),30189244416
Beta (5Y Monthly),0.046
PE Ratio (TTM),12.116484
EPS (TTM),4.55
Earnings Date,1742382000
Forward Dividend & Yield,2.4 (4.35)
Ex-Dividend Date,1744243200
1y Target Est,61.73227
