Attribute,Value
Symbol,GPN
Name,Global Payments Inc.
Industry,Specialty Business Services
Sector,Industrials
Country,United States
Market Cap,20088395776
Description,"Global Payments Inc. provides payment technology and software solutions for card, check, and digital-based payments in the Americas, Europe, and the Asia-Pacific. It operates through two segments, Merchant Solutions and Issuer Solutions. The Merchant Solutions segment offers authorization, settlement and funding, customer support, chargeback resolution, reconciliation and dispute management, terminal rental, sales and deployment, payment security, and consolidated billing and reporting services. This segment also provides an array of enterprise software solutions that streamline business operations of its customers in various vertical markets; and value-added solutions and services, such as point-of-sale software, analytics and customer engagement, payroll and reporting, and human capital management. The Issuer Solutions segment offers solutions that enable financial institutions and retailers to manage their card portfolios through a platform; and commercial payments, accounts payables, and electronic payment alternatives solutions for businesses and governments. It markets its products and services through direct sales force, trade associations, agent and enterprise software providers, referral arrangements with value-added resellers, and independent sales organizations. The company was founded in 1967 and is headquartered in Atlanta, Georgia."
Website,https://www.globalpayments.com/en-ap
Full Time Employees,27000
Currency,USD
Previous Close,82.98
Open,82.86
Bid,82.36
Ask,82.5
Day's Range,81.23 - 82.82
52 Week Range,65.93 - 120.0
Volume,3610994
Avg. Volume,3470403
Market Cap (intraday),20088395776
Beta (5Y Monthly),0.967
PE Ratio (TTM),13.32848
EPS (TTM),6.18
Earnings Date,1744889400
Forward Dividend & Yield,1.0 (1.21)
Ex-Dividend Date,1749772800
1y Target Est,97.4084
