Attribute,Value
Symbol,GS
Name,"Goldman Sachs Group, Inc. (The)"
Industry,Capital Markets
Sector,Financial Services
Country,United States
Market Cap,189943791616
Description,"The Goldman Sachs Group, Inc., a financial institution, provides a range of financial services for corporations, financial institutions, governments, and individuals in the Americas, Europe, the Middle East, Africa, and Asia. It operates through Global Banking & Markets, Asset & Wealth Management, and Platform Solutions segments. The Global Banking & Markets segment provides financial advisory services, including strategic advisory assignments related to mergers and acquisitions, divestitures, corporate defense activities, restructurings, and spin-offs; equity and debt underwriting of public offerings and private placements; relationship lending and acquisition financing; secured lending through structured credit and asset-backed lending, such as warehouse, residential and commercial mortgage, corporate, consumer, auto, and student loans; financing through securities purchased under agreements to resell; and commodity financing through structured transactions. This segment also offers client execution activities for cash and derivative instruments; credit and interest rate products; and provision of mortgages, currencies, commodities, and equities related products. Its Asset & Wealth Management segment manages assets across various classes, including equity, fixed income, hedge funds, credit funds, private equity, real estate, currencies, commodities, and asset allocation strategies; and provides customized investment advisory solutions, wealth advisory services, personalized financial planning, and private banking services, as well as invests in corporate equity, credit, real estate, and infrastructure assets. The Platform Solutions segment offers credit cards; and transaction banking and other services, such as deposit-taking, payment solutions, and other cash management services for corporate and institutional clients. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York."
Website,https://www.goldmansachs.com
Full Time Employees,46600
Currency,USD
Previous Close,615.9
Open,616.95
Bid,612.0
Ask,615.0
Day's Range,613.56 - 620.79
52 Week Range,437.37 - 672.19
Volume,2012905
Avg. Volume,3058669
Market Cap (intraday),189943791616
Beta (5Y Monthly),1.311
PE Ratio (TTM),14.369313
EPS (TTM),43.08
Earnings Date,1752669000
Forward Dividend & Yield,12.0 (1.94)
Ex-Dividend Date,1748563200
1y Target Est,585.579
