Attribute,Value
Symbol,GWW
Name,"W.W. Grainger, Inc."
Industry,Industrial Distribution
Sector,Industrials
Country,United States
Market Cap,52922867712
Description,"W.W. Grainger, Inc., together with its subsidiaries, distributes maintenance, repair, and operating products and services primarily in North America, Japan, and the United Kingdom. It operates through two segments, High-Touch Solutions North America and Endless Assortment. The company provides safety, security, material handling and storage equipment, pumps and plumbing equipment, cleaning and maintenance, and metalworking and hand tools. It also offers technical support and inventory management services. The company provides safety, security, material handling and storage equipment, pumps and plumbing equipment, cleaning and maintenance, and metalworking and hand tools. It also offers technical support and inventory management services. The company serves smaller businesses to large corporations, government entities, and other institutions, as well as commercial, healthcare, and manufacturing industries through sales and service representatives, and electronic and ecommerce channels. W.W. Grainger, Inc. was founded in 1927 and is headquartered in Lake Forest, Illinois."
Website,https://www.grainger.com
Full Time Employees,23500
Currency,USD
Previous Close,1084.51
Open,1086.98
Bid,1097.3
Ask,1100.18
Day's Range,1086.035 - 1102.84
52 Week Range,874.98 - 1227.66
Volume,382679
Avg. Volume,288836
Market Cap (intraday),52922867712
Beta (5Y Monthly),1.236
PE Ratio (TTM),28.247694
EPS (TTM),39.0
Earnings Date,1753963200
Forward Dividend & Yield,9.04 (0.82)
Ex-Dividend Date,1747008000
1y Target Est,1063.9521
