Attribute,Value
Symbol,HAS
Name,"Hasbro, Inc."
Industry,Leisure
Sector,Consumer Cyclical
Country,United States
Market Cap,9418068992
Description,"Hasbro, Inc., together with its subsidiaries, operates as a toy and game company in the United States, Europe, Canada, Mexico, Latin America, Australia, China, and Hong Kong. The company offers trading cards and collectibles, action figures, arts and crafts and creative play products, dolls, play sets, preschool toys, plush products, vehicles and toy-related specialty products, sports action products and accessories, and other consumer products; and licensed products, such as apparel, publishing products, home goods and electronics, and toy products. It also engages in the sourcing, marketing, and sale of toy and game products; and promotes its brands through the out-licensing of trademarks, characters, and other brand and intellectual property rights to third parties through the sale of branded consumer products, such as toys and apparel. In addition, the company is involved in the promotion of its brands through the development of trading cards, role-playing, and digital game experiences based on Hasbro and Wizards of the Coast games; and license certain brands to other third-party digital game developers who transform Hasbro brand-based characters and other intellectual properties, into digital gaming experiences. Further, it develops and produces of Hasbro-branded entertainment content, including film, television, children's programming, digital content, and live entertainment. The company sells its products to retailers, distributors, wholesalers, discount stores, specialty hobby stores, drug stores, mail order houses, catalog stores, department stores, and other traditional retailers, as well as ecommerce retailers under the MAGIC: THE GATHERING, Hasbro Gaming, PLAY-DOH, TRANSFORMERS, DUNGEONS & DRAGONS, PEPPA PIG, and NERF as well as LUCASFILMS' STAR WARS, BEYBLADE, Final Fantasy, The Lord of the Rings, Fallout, SPIDER-MAN, and THE AVENGERS brands. Hasbro, Inc. was founded in 1923 and is headquartered in Pawtucket, Rhode Island."
Website,https://shop.hasbro.com/en-in
Full Time Employees,4985
Currency,USD
Previous Close,66.47
Open,66.47
Bid,67.11
Ask,67.3
Day's Range,66.225 - 67.26
52 Week Range,49.0 - 73.46
Volume,1522585
Avg. Volume,2258453
Market Cap (intraday),9418068992
Beta (5Y Monthly),0.537
PE Ratio (TTM),22.181519
EPS (TTM),3.03
Earnings Date,1745490600
Forward Dividend & Yield,2.8 (4.17)
Ex-Dividend Date,1747785600
1y Target Est,75.88077
