Attribute,Value
Symbol,HST
Name,"Host Hotels & Resorts, Inc."
Industry,REIT - Hotel & Motel
Sector,Real Estate
Country,United States
Market Cap,10940423168
Description,"Host Hotels & Resorts, Inc. is an S&P 500 company and is the largest lodging real estate investment trust and one of the largest owners of luxury and upper-upscale hotels. The Company currently owns 76 properties in the United States and five properties internationally totaling approximately 43,400 rooms. The Company also holds non-controlling interests in seven domestic and one international joint ventures. Guided by a disciplined approach to capital allocation and aggressive asset management, the Company partners with premium brands such as Marriott, Ritz-Carlton, Westin, Sheraton, W, St. Regis, The Luxury Collection, Hyatt, Fairmont, 1 Hotels, Hilton, Four Seasons, Swissôtel, ibis and Novotel, as well as independent brands."
Website,https://www.hosthotels.com
Full Time Employees,165
Currency,USD
Previous Close,15.4
Open,15.44
Bid,15.53
Ask,15.59
Day's Range,15.34 - 15.59
52 Week Range,12.22 - 19.36
Volume,5768462
Avg. Volume,10597239
Market Cap (intraday),10940423168
Beta (5Y Monthly),1.315
PE Ratio (TTM),16.208334
EPS (TTM),0.96
Earnings Date,1746045000
Forward Dividend & Yield,0.8 (5.14)
Ex-Dividend Date,1743379200
1y Target Est,17.91667
