Attribute,Value
Symbol,HSY
Name,The Hershey Company
Industry,Confectioners
Sector,Consumer Defensive
Country,United States
Market Cap,32110708736
Description,"The Hershey Company, together with its subsidiaries, engages in the manufacture and sale of confectionery products and pantry items in the United States and internationally. The company operates through three segments: North America Confectionery, North America Salty Snacks, and International. It offers chocolate and non-chocolate confectionery products; gum and mint refreshment products, including mints, chewing gums, and bubble gums; protein bars; pantry items, such as baking ingredients, toppings, beverages, and sundae syrups; and snack items comprising spreads, bars, snack bites, mixes, popcorn, and pretzels. The company provides its products primarily under the Hershey's, Reese's, Kisses, Jolly Rancher, Almond Joy, Brookside, barkTHINS, Cadbury, Good & Plenty, Heath, Kit Kat, Payday, Rolo, Twizzlers, Sour Strips, Whoppers, York, Ice Breakers, Breath Savers, Bubble Yum, Lily's, SkinnyPop, Pirates Booty, Dot's Homestyle Pretzels, and ONE Bar brands, as well as under the Pelon Pelo Rico, IO-IO, and Sofit brands. It markets and sells its products to wholesale distributors, chain grocery stores, mass merchandisers, chain drug stores, vending companies, wholesale clubs, convenience stores, dollar stores, concessionaires, and department stores. The company exports its products in approximately 80 countries worldwide. The Hershey Company was founded in 1894 and is headquartered in Hershey, Pennsylvania."
Website,https://www.thehersheycompany.com
Full Time Employees,18540
Currency,USD
Previous Close,162.32
Open,162.32
Bid,158.13
Ask,159.5
Day's Range,155.855 - 162.32
52 Week Range,140.13 - 209.65
Volume,2012274
Avg. Volume,1813330
Market Cap (intraday),32110708736
Beta (5Y Monthly),0.305
PE Ratio (TTM),19.494465
EPS (TTM),8.13
Earnings Date,1746096304
Forward Dividend & Yield,5.48 (3.46)
Ex-Dividend Date,1747353600
1y Target Est,165.00958
