Attribute,Value
Symbol,IDXX
Name,"IDEXX Laboratories, Inc."
Industry,Diagnostics & Research
Sector,Healthcare
Country,United States
Market Cap,41666584576
Description,"IDEXX Laboratories, Inc. develops, manufactures, and distributes products for the companion animal veterinary, livestock and poultry, dairy, and water testing industries in the United States and internationally. The company operates through three segments: Companion Animal Group; Water Quality Products; and Livestock, Poultry and Dairy. It offers in-clinic chemistry, blood and urine chemistry, hematology, immunoassay, urinalysis, cytology, and coagulation analyzers; and SNAP rapid assays test kits. The company also provides commercial reference laboratory diagnostic and consulting services to veterinarians; veterinary consultation, telemedicine, and advisory services, including radiology, dental radiography, cardiology, internal medicine, and ultrasound consulting; Colilert, Colilert-18, and Colisure tests, which detect the presence of total coliforms and E. coli in water; Enterolert, Pseudalert, Filta-Max and Filta-Max xpress, Legiolert, Quanti-Tray products, and Tecta system instruments; and veterinary software and services for independent veterinary clinics and corporate groups. In addition, it offers diagnostic tests, services, and related instrumentation for manage the health status of livestock and poultry; human medical diagnostic products and services; and VetConnect PLUS, a cloud-based technology that enables veterinarians to access and analyze patients, as well as operates VetLab Station. The company markets its products through marketing, customer service, sales, and technical service groups, as well as through independent distributors and other resellers. IDEXX Laboratories, Inc. was incorporated in 1983 and is headquartered in Westbrook, Maine."
Website,https://www.idexx.com
Full Time Employees,11000
Currency,USD
Previous Close,511.99
Open,514.05
Bid,469.31
Ask,552.1
Day's Range,509.07 - 518.41
52 Week Range,356.14 - 545.43
Volume,490058
Avg. Volume,868098
Market Cap (intraday),41666584576
Beta (5Y Monthly),1.525
PE Ratio (TTM),47.839333
EPS (TTM),10.83
Earnings Date,1746095400
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,497.45834
