Attribute,Value
Symbol,IPG
Name,"Interpublic Group of Companies,"
Industry,Advertising Agencies
Sector,Communication Services
Country,United States
Market Cap,9424544768
Description,"The Interpublic Group of Companies, Inc. provides advertising and marketing services worldwide. It operates in three segments: Media, Data & Engagement Solutions, Integrated Advertising & Creativity Led Solutions, and Specialized Communications & Experiential Solutions. The Media, Data & Engagement Solutions segment provides media and communications services, digital services and products, advertising and marketing technology, e-commerce services, data management and analytics, strategic consulting, and digital brand experience under the IPG Mediabrands, UM, Initiative, Kinesso, Acxiom, Huge, MRM, and R/GA brand names. The Integrated Advertising & Creativity Led Solutions segment offers advertising, corporate, and brand identity services; and strategic consulting under FCB, IPG Health, McCann Worldgroup, and MullenLowe Group brands. The Specialized Communications & Experiential Solutions segment provides public relations and other specialized communications services, live events, sports and entertainment marketing, and strategic consulting under IPG DXTRA Health, The Weber Shandwick Collective, Golin, Jack Morton, Momentum, and Octagon brand names. The company was formerly known as McCann-Erickson Incorporated and changed its name to The Interpublic Group of Companies, Inc. in January 1961. The Interpublic Group of Companies, Inc. was founded in 1902 and is headquartered in New York, New York."
Website,https://www.interpublic.com
Full Time Employees,51500
Currency,USD
Previous Close,25.18
Open,25.17
Bid,25.18
Ask,25.75
Day's Range,24.92 - 25.49
52 Week Range,22.51 - 33.05
Volume,2119379
Avg. Volume,6796839
Market Cap (intraday),9424544768
Beta (5Y Monthly),1.081
PE Ratio (TTM),19.458015
EPS (TTM),1.31
Earnings Date,1745492401
Forward Dividend & Yield,1.32 (5.18)
Ex-Dividend Date,1740960000
1y Target Est,34.27222
