Attribute,Value
Symbol,KHC
Name,The Kraft Heinz Company
Industry,Packaged Foods
Sector,Consumer Defensive
Country,United States
Market Cap,32831397888
Description,"The Kraft Heinz Company, together with its subsidiaries, manufactures and markets food and beverage products in North America and internationally. Its products include condiments and sauces, cheese and dairy products, meals, meats, refreshment beverages, coffee, and other grocery products under the Kraft, Oscar Mayer, Heinz, Philadelphia, Lunchables, Velveeta, Ore-Ida, Maxwell House, Kool-Aid, Jell-O, Heinz, ABC, Master, Quero, Kraft, Golden Circle, Wattie's, Pudliszki, and Plasmon brands. It sells its products through its own sales organizations, as well as through independent brokers, agents, and distributors to chain, wholesale, cooperative, and independent grocery accounts; convenience, value, and club stores; pharmacies and drug stores; mass merchants; foodservice distributors; institutions, including hotels, restaurants, bakeries, hospitals, health care facilities, and government agencies; and c various e-commerce platforms and retailers. The company was formerly known as H.J. Heinz Holding Corporation and changed its name to The Kraft Heinz Company in July 2015. The company was founded in 1869 and is based in Pittsburgh, Pennsylvania."
Website,https://www.kraftheinzcompany.com
Full Time Employees,36000
Currency,USD
Previous Close,27.49
Open,27.49
Bid,26.03
Ask,28.93
Day's Range,27.335 - 27.78
52 Week Range,27.14 - 36.53
Volume,8858639
Avg. Volume,11129236
Market Cap (intraday),32831397888
Beta (5Y Monthly),0.268
PE Ratio (TTM),12.666666
EPS (TTM),2.19
Earnings Date,1745924400
Forward Dividend & Yield,1.6 (5.77)
Ex-Dividend Date,1748563200
1y Target Est,31.56091
