Attribute,Value
Symbol,LII
Name,"Lennox International, Inc."
Industry,Building Products & Equipment
Sector,Industrials
Country,United States
Market Cap,21495627776
Description,"Lennox International Inc., together with its subsidiaries, designs, manufactures, and markets products for the heating, ventilation, air conditioning, and refrigeration markets in the United States, Canada, and internationally. The Home Comfort Solutions segment provides furnaces, air conditioners, heat pumps, packaged heating and cooling systems, indoor air quality equipment, comfort control products, and replacement parts and supplies; residential heating, ventilation, cooling equipment, and air conditioning; and evaporator coils and unit heaters under Lennox, Dave Lennox Signature Collection, Armstrong Air, Ducane, AirEase, Concord, MagicPak, Advanced Distributor Products, Allied, Elite Series, Merit Series, Comfort Sync, Healthy Climate, iComfort, ComfortSense, and Lennox Stores name. The Building Climate Solutions segment offers unitary heating and air conditioning equipment, applied systems, controls, installation and service of commercial heating and cooling equipment, variable refrigerant flow commercial, curb, curb adapters, drop box diffusers, HVAC recycling, and salvage service. This segment also provides condensing units, unit coolers, fluid coolers, air cooled condensers, air handlers, and refrigeration rack systems for preserving food and other perishables; and compressor racks and industrial process chillers under the Lennox, Model L, CORE, Enlight, Xion, Energence, Prodigy, Strategos, Raider, Lennox VRF, Lennox National Account Services, Allied Commercial, Elite, AES Industries, Mechanical, and Reclaim, Heatcraft Worldwide and Chandler Refrigeration, Bohn, MAGNA, Larkin, Climate Control, Chandler Refrigeration, IntelliGen, and Interlink brand name. In addition, the company provides small package units, rooftop units, chillers, air handlers, and fan coils. It sells its products and services through direct sales, distributors, and company-owned parts and supplies stores. The company was founded in 1895 and is headquartered in Richardson, Texas."
Website,https://www.lennox.com
Full Time Employees,14200
Currency,USD
Previous Close,594.22
Open,599.28
Bid,241.8
Ask,967.16
Day's Range,592.77 - 605.77
52 Week Range,483.42 - 682.5
Volume,272165
Avg. Volume,446428
Market Cap (intraday),21495627776
Beta (5Y Monthly),1.188
PE Ratio (TTM),27.031237
EPS (TTM),22.41
Earnings Date,1745405103
Forward Dividend & Yield,4.6 (0.76)
Ex-Dividend Date,1745971200
1y Target Est,558.6111
