Attribute,Value
Symbol,LNT
Name,Alliant Energy Corporation
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,16049612800
Description,"Alliant Energy Corporation operates as a utility holding company that provides regulated electric and natural gas services in the United States. It operates through IPL and WPL segments. The company, through its subsidiary, Interstate Power and Light Company (IPL), engages primarily in the generation and distribution of electricity and the distribution and transportation of natural gas to retail customers in select markets in Iowa. This segment also sells electricity to wholesale customers in Minnesota, Illinois and Iowa; and generates and distributes steam for two customers in Cedar Rapids, Iowa. Alliant Energy Corporation, through its other subsidiary, Wisconsin Power and Light Company (WPL), generates and distributes electricity, and distributes and transports natural gas to retail customers in select markets in Wisconsin; and sells electricity to wholesale customers in Wisconsin. It serves retail customers in the farming, agriculture, industrial manufacturing, chemical, packaging, and food industries, as well as wholesale customers comprising municipalities and rural electric cooperatives. In addition, the company owns and operates a short-line rail freight service in Iowa; a Mississippi River barge, rail, and truck freight terminal in Illinois; freight brokerage services; wind turbine blade recycling services; and a rail-served warehouse in Iowa. Further, it holds interests in a natural gas-fired electric generating unit near Sheboygan Falls, Wisconsin; and a wind farm located in Oklahoma. The company was formerly known as Interstate Energy Corp. and changed its name to Alliant Energy Corporation in May 1999. Alliant Energy Corporation is headquartered in Madison, Wisconsin."
Website,https://www.alliantenergy.com
Full Time Employees,2998
Currency,USD
Previous Close,61.71
Open,61.78
Bid,62.42
Ask,62.52
Day's Range,61.49 - 62.51
52 Week Range,49.05 - 66.54
Volume,2876638
Avg. Volume,2339574
Market Cap (intraday),16049612800
Beta (5Y Monthly),0.577
PE Ratio (TTM),21.544827
EPS (TTM),2.9
Earnings Date,1746741600
Forward Dividend & Yield,2.03 (3.25)
Ex-Dividend Date,1745971200
1y Target Est,65.00417
