Attribute,Value
Symbol,LUV
Name,Southwest Airlines Company
Industry,Airlines
Sector,Industrials
Country,United States
Market Cap,18617520128
Description,"Southwest Airlines Co. operates as a passenger airline company that provides scheduled air transportation services in the United States and near-international markets. As of December 31, 2024, the company operated a total fleet of 803 Boeing 737 aircraft; and served 117 destinations in 42 states, the District of Columbia, and the Commonwealth of Puerto Rico, as well as ten near-international countries, including Mexico, Jamaica, the Bahamas, Aruba, the Dominican Republic, Costa Rica, Belize, Cuba, the Cayman Islands, and Turks and Caicos. It also provides inflight entertainment and connectivity services; and Rapid Rewards loyalty program that enables program members to earn points for dollars spent on Southwest base fares. In addition, the company offers a suite of digital platforms to support customers' travel needs, including websites and apps; and SWABIZ, an online booking tool. Further, it provides ancillary services, such as Southwest's EarlyBird Check-In, upgraded boarding, and transportation of pets and unaccompanied minors. Southwest Airlines Co. was incorporated in 1967 and is headquartered in Dallas, Texas."
Website,https://www.southwest.com
Full Time Employees,71506
Currency,USD
Previous Close,31.85
Open,31.96
Bid,32.69
Ask,32.7
Day's Range,31.81 - 32.81
52 Week Range,23.58 - 36.12
Volume,8468448
Avg. Volume,13740676
Market Cap (intraday),18617520128
Beta (5Y Monthly),1.175
PE Ratio (TTM),36.707863
EPS (TTM),0.89
Earnings Date,1745497800
Forward Dividend & Yield,0.72 (2.2)
Ex-Dividend Date,1750204800
1y Target Est,29.01409
