Attribute,Value
Symbol,MAS
Name,Masco Corporation
Industry,Building Products & Equipment
Sector,Industrials
Country,United States
Market Cap,14272336896
Description,"Masco Corporation provides home improvement and building products in North America, Europe, and internationally. The company's Plumbing Products segment offers faucets, showerheads, handheld showers, valves, bath hardware and accessories, bathing units, shower bases and enclosures, shower drains, steam shower systems, water filtration systems, and sinks and kitchen accessories; acrylic tubs, bath and shower enclosures, and shower bases and trays; spas, exercise pools, and aquatic fitness systems and saunas; brass, copper, and composite plumbing system component and other non-decorative plumbing products; water products; and thermoplastic products, extruded plastic profiles, and specialized fabrication products, as well as PEX tubing products. This segment provides its products under the DELTA, BRIZO, PEERLESS, HANSGROHE, AXOR, KRAUS, EASY DRAIN, NEWPORT BRASS, GINGER, BRASSTECH, WALTEC, BRISTAN, HERITAGE, MIROLIN, HOT SPRING, CALDERA, FREEFLOW SPAS, FANTASY SPAS, AQUATERRA, LIFESMART, ENDLESS POOLS, TYLO, FINNLEO, HELO, BRASSCRAFT, PLUMBSHOP, and MASTER PLUMBER brands, as well as under private label to home center and online retailers, mass merchandisers, wholesalers and distributors, plumbers, building contractors, remodelers, smaller retailers, and consumers and homebuilders. Its Decorative Architectural Products segment offers paints, primers, specialty coatings, stains, and waterproofing products, as well as paint applicators and accessories; cabinet and door hardware, functional hardware, wall plates, hook and rail, and outdoor living hardware; and decorative bath hardware, shower accessories, mirrors, and shower doors. This segment provides its products under the BEHR, KILZ, WHIZZ, Elder & Jenks, LIBERTY, BRAINERD, and FRANKLIN BRASS brands to home center and other retailers, mass and online retailers, other specialty retailers, and original equipment manufacturers and wholesalers. The company was incorporated in 1929 and is headquartered in Livonia, Michigan."
Website,https://www.masco.com
Full Time Employees,18000
Currency,USD
Previous Close,67.22
Open,67.22
Bid,66.35
Ask,68.97
Day's Range,66.8 - 67.71
52 Week Range,56.55 - 86.7
Volume,1391791
Avg. Volume,2400742
Market Cap (intraday),14272336896
Beta (5Y Monthly),1.233
PE Ratio (TTM),18.48634
EPS (TTM),3.66
Earnings Date,1745406000
Forward Dividend & Yield,1.24 (1.83)
Ex-Dividend Date,1747958400
1y Target Est,70.317
