Attribute,Value
Symbol,MA
Name,Mastercard Incorporated
Industry,Credit Services
Sector,Financial Services
Country,United States
Market Cap,529666080768
Description,"Mastercard Incorporated, a technology company, provides transaction processing and other payment-related products and services in the United States and internationally. The company offers integrated products and value-added services for account holders, merchants, financial institutions, digital partners, businesses, governments, and other organizations, such as programs that enable issuers to provide consumers with credits to defer payments; payment products and solutions that allow its customers to access funds in deposit and other accounts; prepaid programs services; consumer bill payment services; and commercial credit, debit, and prepaid payment products and solutions. It also provides solutions that enable businesses or governments to make payments to businesses, including Virtual Card Number, which is generated dynamically from a physical card and leverages the credit limit of the funding account; and a platform to optimize supplier payment enablement campaigns for financial institutions. In addition, the company offers Mastercard Move, which partners with digital messaging and payment platforms to enable consumers to send money directly within applications to other consumers; and partners with central banks, fintechs and financial institutions to help governments and nonprofits, as well as enables various cross-border payment flows. Further, it provides security solutions; personalization, issuer and merchant loyalty, and marketing services; advanced analytics, business intelligence, economic and location-based insights, payments consulting, and operational insights services; processing and gateway solutions; and open banking services. The company offers payment solutions and services under the MasterCard, Maestro, and Cirrus names. Mastercard Incorporated was founded in 1966 and is headquartered in Purchase, New York."
Website,https://www.mastercard.com
Full Time Employees,35300
Currency,USD
Previous Close,582.2
Open,580.43
Bid,578.78
Ask,584.29
Day's Range,580.6248 - 584.285
52 Week Range,428.86 - 584.29
Volume,2225289
Avg. Volume,2928787
Market Cap (intraday),529666080768
Beta (5Y Monthly),1.061
PE Ratio (TTM),40.989464
EPS (TTM),14.23
Earnings Date,1746102600
Forward Dividend & Yield,3.04 (0.52)
Ex-Dividend Date,1745539200
1y Target Est,615.71625
