Attribute,Value
Symbol,MCHP
Name,Microchip Technology Incorporat
Industry,Semiconductors
Sector,Technology
Country,United States
Market Cap,32919900160
Description,"Microchip Technology Incorporated engages in the development, manufacture, and sale of smart, connected, and secure embedded control solutions in the Americas, Europe, and Asia. The company offers general purpose 8-bit, 16-bit, and 32-bit mixed-signal microcontrollers; 32-bit embedded mixed-signal microprocessors; and specialized microcontrollers for automotive, industrial, computing, communications, lighting, power supplies, motor control, human machine interface, security, wired connectivity, and wireless connectivity applications. It also provides analog, interface, mixed signal, and timing products comprising power management, linear, mixed-signal, high-voltage, thermal management, discrete diodes, and metal oxide semiconductor field effect transistors (MOSFETS), radio frequency (RF), drivers, safety, security, timing, USB, Ethernet, wireless, and other interface products; field-programmable gate array (FPGA) products; and application development tools that enable system designers to program microcontroller, FPGA, and microprocessor products for specific applications. In addition, the company offers serial electrically erasable programmable read-only memory, serial flash memories, parallel flash memories, serial static random access memories, and serial electrically erasable random access memories for the production of very small footprint devices; and licenses its SuperFlash embedded flash and non-volatile memory technologies to foundries, integrated device manufacturers, and design partners for use in the manufacture of microcontroller products, gate array, RF, analog, and neuromorphic compute products that require embedded non-volatile memory, as well as provides engineering services. Further, it offers wafer foundry and assembly, and test subcontracting manufacturing services; and timing systems products, application specific integrated circuits, and aerospace products. The company was incorporated in 1989 and is headquartered in Chandler, Arizona."
Website,https://www.microchip.com
Full Time Employees,
Currency,USD
Previous Close,60.8
Open,60.805
Bid,61.09
Ask,61.29
Day's Range,60.1317 - 61.22
52 Week Range,34.13 - 100.57
Volume,6583005
Avg. Volume,12573442
Market Cap (intraday),32919900160
Beta (5Y Monthly),1.407
PE Ratio (TTM),
EPS (TTM),-0.01
Earnings Date,1746735300
Forward Dividend & Yield,1.82 (2.97)
Ex-Dividend Date,1747872000
1y Target Est,63.34478
