Attribute,Value
Symbol,MCO
Name,Moody's Corporation
Industry,Financial Data & Stock Exchanges
Sector,Financial Services
Country,United States
Market Cap,87971684352
Description,"Moody's Corporation operates as an integrated risk assessment firm worldwide. It operates in two segments, Moody's Analytics and Moody's Investors Services. The Moody's Analytics segment develops a range of products and services that support the risk management activities of institutional participants in financial markets. It offers credit research, credit models and analytics, economics data and models, and structured finance solutions; data sets on companies and securities; and SaaS solutions supporting banking, insurance, and know your customer workflows. The Moody's Investors Service segment publishes credit ratings and provides assessment services on various debt obligations, programs and facilities, and entities that issue such obligations, such as various corporate, financial institution, and governmental obligations, as well as structured finance securities. The company was formerly known as Dun and Bradstreet Company and changed its name to Moody's Corporation in September 2000. The company was founded in 1900 and is headquartered in New York, New York."
Website,https://www.moodys.com
Full Time Employees,15795
Currency,USD
Previous Close,486.39
Open,486.96
Bid,480.0
Ask,501.11
Day's Range,484.72 - 489.49
52 Week Range,378.71 - 531.93
Volume,503007
Avg. Volume,934923
Market Cap (intraday),87971684352
Beta (5Y Monthly),1.403
PE Ratio (TTM),42.182915
EPS (TTM),11.59
Earnings Date,1745319600
Forward Dividend & Yield,3.76 (0.77)
Ex-Dividend Date,1747353600
1y Target Est,502.3982
