Attribute,Value
Symbol,MO
Name,"Altria Group, Inc."
Industry,Tobacco
Sector,Consumer Defensive
Country,United States
Market Cap,99197263872
Description,"Altria Group, Inc., through its subsidiaries, manufactures and sells smokeable and oral tobacco products in the United States. The company offers cigarettes primarily under the Marlboro brand; large cigars and pipe tobacco under the Black & Mild brand; moist smokeless tobacco and oral tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands; oral nicotine pouches under the on! brand; and e-vapor products under the NJOY ACE brand. It sells its products to distributors, as well as large retail organizations, such as chain stores. Altria Group, Inc. was founded in 1822 and is headquartered in Richmond, Virginia."
Website,https://www.altria.com
Full Time Employees,14654
Currency,USD
Previous Close,58.06
Open,58.2
Bid,58.88
Ask,58.95
Day's Range,58.09 - 58.95
52 Week Range,43.83 - 61.26
Volume,5918766
Avg. Volume,10644217
Market Cap (intraday),99197263872
Beta (5Y Monthly),0.64
PE Ratio (TTM),9.880873
EPS (TTM),5.96
Earnings Date,1753878600
Forward Dividend & Yield,4.08 (6.93)
Ex-Dividend Date,1750032000
1y Target Est,58.37231
