Attribute,Value
Symbol,NDSN
Name,Nordson Corporation
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,United States
Market Cap,11686817792
Description,"Nordson Corporation engineers, manufactures, and markets products and systems to dispense, apply, and control adhesives, coatings, polymers, sealants, biomaterials, and other fluids. It operates through three segments: Industrial Precision Solutions; Medical and Fluid Solutions; and Advanced Technology Solutions. The Industrial Precision Solutions segment provides dispensing, coating, and laminating systems for adhesives, lotions, liquids, and fibers to disposable products and roll goods; automated adhesive dispensing systems used in packaged goods industries; components and systems for thermoplastic and biopolymer melt stream; fluid components, such as nozzles, pumps, and filters; smart components that measure and control the flow, quantity and location of dispensed fluid; control systems; and dispensing, coating, and laminating systems. It also offers automated and manual dispensing products and systems for cold materials, container coating, liquid finishing, and powder coating, as well as ultraviolet equipment used in curing and drying operations; and in-line measurement sensors, gauges and analyzers, lasers, X-ray, optical and nucleonic technologies, and proprietary algorithms and software. The Medical and Fluid Solutions segment offers cannulas, catheters, and medical balloons; single-use plastic components; precision manual and semi-automated dispensers; and plastic molded syringes, cartridges, tips, and fluid connection components. The Advanced Technology Solutions segment provides automated dispensing systems for fluids attachment, protection, and coating, as well as related gas plasma treatment systems for cleaning and conditioning surfaces; and bond testing and automated optical, acoustic microscopy, and x-ray inspection systems for semiconductor and printed circuit board industries. The company markets its products through direct sales force, distributors, and sales representatives. The company was founded in 1909 and is headquartered in Westlake, Ohio."
Website,https://www.nordson.com
Full Time Employees,8000
Currency,USD
Previous Close,201.1
Open,201.49
Bid,187.45
Ask,217.9
Day's Range,200.51 - 205.64
52 Week Range,165.03 - 272.27
Volume,265310
Avg. Volume,378303
Market Cap (intraday),11686817792
Beta (5Y Monthly),0.904
PE Ratio (TTM),26.125954
EPS (TTM),7.86
Earnings Date,1748462400
Forward Dividend & Yield,3.12 (1.52)
Ex-Dividend Date,1742428800
1y Target Est,243.28667
