Attribute,Value
Symbol,NOC
Name,Northrop Grumman Corporation
Industry,Aerospace & Defense
Sector,Industrials
Country,United States
Market Cap,68102414336
Description,"Northrop Grumman Corporation operates as an aerospace and defense technology company in the United States, the Asia/Pacific, Europe, and internationally. The company's Aeronautics Systems segment designs, develops, manufactures, integrates, sustains, and modernizes aircraft systems. This segment also offers unmanned autonomous aircraft systems, including high-altitude long-endurance strategic, and surveillance and reconnaissance systems; and strategic long-range strike aircraft, tactical fighter and air dominance aircraft, and airborne battle management and command and control systems. Its Defense Systems segment designs, develops, integrates, and produces strategic deterrent systems, tactical weapons, and missile defense solutions; and provides sustainment, modernization, and training services for manned and unmanned aircraft and electronics systems. This segment also offers strategic missiles; integrated all-domain command and control systems; precision strike weapons; tactical solid rocket motors, and high speed air-breathing and hypersonic systems; high-performance gun systems, ammunition, precision munitions, and advanced fuzes; and aircraft and mission systems logistics support, sustainment, operation, and modernization. The company's Mission Systems segment provides command, control, communication and computer, intelligence, surveillance, and reconnaissance systems; radar, electro-optical/infrared, and acoustic sensors; electronic warfare systems; advanced communications and network systems; microelectronics; navigation and positioning sensors; maritime power, propulsion, and payload launch systems; cyber solutions; and intelligence processing systems. Its Space Systems segment offers satellites, spacecraft systems, subsystems, sensors, and payloads; ground systems; missile defense systems and interceptors; and launch vehicles and related propulsion systems. Northrop Grumman Corporation was founded in 1939 and is based in Falls Church, Virginia."
Website,https://www.northropgrumman.com
Full Time Employees,97000
Currency,USD
Previous Close,469.05
Open,469.61
Bid,472.76
Ask,477.89
Day's Range,466.38 - 473.56
52 Week Range,418.6 - 555.57
Volume,1148114
Avg. Volume,1227398
Market Cap (intraday),68102414336
Beta (5Y Monthly),0.147
PE Ratio (TTM),18.658123
EPS (TTM),25.36
Earnings Date,1745319540
Forward Dividend & Yield,8.24 (1.74)
Ex-Dividend Date,1740960000
1y Target Est,541.1861
