Attribute,Value
Symbol,NRG
Name,"NRG Energy, Inc."
Industry,Utilities - Independent Power Producers
Sector,Utilities
Country,United States
Market Cap,31125190656
Description,"NRG Energy, Inc., together with its subsidiaries, operates as an energy and home services company in the United States and Canada. It operates through Texas; East; West/Services/Other; Vivint Smart Home; and Corporate Activities segments. The company produces and sells electricity generated using coal, oil, solar, and battery storage; natural gas; and a cloud-based home platform, including hardware, software, sales, installation, customer service, technical support, and professional monitoring solutions. It offers retail electricity and energy management, line and surge protection products, HVAC installation, repair and maintenance, home protection products, repair and maintenance, and carbon offsets; retail services comprising demand response, commodity sales, energy efficiency, and energy management solutions; and system power, distributed generation, renewable and low-carbon products, carbon management and specialty services, backup generation, storage and distributed solar, and energy advisory services. In addition, the company trades in power, natural gas, and related commodities; environmental products; weather products; and financial products, including forwards, futures, options, and swaps. It offers its products and services under the NRG, Reliant, Direct Energy, Green Mountain Energy, and Vivint. It serves residential, commercial, government, industrial, and wholesale customers. NRG Energy, Inc. was founded in 1989 and is headquartered in Houston, Texas."
Website,https://www.nrg.com
Full Time Employees,15637
Currency,USD
Previous Close,155.02
Open,154.96
Bid,156.2
Ask,161.91
Day's Range,154.04 - 159.24
52 Week Range,65.11 - 159.24
Volume,6338563
Avg. Volume,3446700
Market Cap (intraday),31125190656
Beta (5Y Monthly),1.001
PE Ratio (TTM),25.310015
EPS (TTM),6.29
Earnings Date,1747048860
Forward Dividend & Yield,1.76 (1.11)
Ex-Dividend Date,1746057600
1y Target Est,144.87334
