Attribute,Value
Symbol,OKE
Name,"ONEOK, Inc."
Industry,Oil & Gas Midstream
Sector,Energy
Country,United States
Market Cap,53512220672
Description,"ONEOK, Inc. operates as a midstream service provider of gathering, processing, fractionation, transportation, storage, and marine export services in the United States. It operates in four segments: Natural Gas Gathering and Processing; Natural Gas Liquids; Natural Gas Pipelines; and Refined Products and Crude. The company owns natural gas gathering pipelines and processing plants in the Mid-Continent, Permian Basin, North Texas, Gulf Coast region, and Rocky Mountain regions; and provides midstream services to producers of NGLs. It also owns NGL gathering and distribution pipelines, fractionation, terminal and storage facilities; and transports refined products, including gasoline, diesel fuel, aviation fuel, kerosene, and heating oil. In addition, the company transports and stores natural gas through regulated interstate and intrastate natural gas transmission pipelines, and natural gas storage facilities; it owns and operates a parking garage in downtown Tulsa, Oklahoma; and leases buildings, warehouses, office space, land, and equipment, including pipeline equipment, pipeline capacity, rail cars, and information technology equipment. Further, the company transports, stores, and distributes refined products, purity NGLs, and crude oil, as well as conducts commodity-related activities, including liquids blending and marketing activities. It serves integrated and independent exploration and production companies; other NGL and natural gas gathering and processing companies; crude oil and natural gas production companies; utilities; industrial companies; natural gasoline distributors; propane distributors; municipalities; ethanol producers; petrochemical, refining, and marketing companies; and diluent users, refineries, and exporters. ONEOK, Inc. was founded in 1906 and is headquartered in Tulsa, Oklahoma."
Website,https://www.oneok.com/
Full Time Employees,5177
Currency,USD
Previous Close,86.03
Open,86.19
Bid,85.0
Ask,85.64
Day's Range,84.6 - 86.43
52 Week Range,75.47 - 118.07
Volume,2168537
Avg. Volume,4182317
Market Cap (intraday),53512220672
Beta (5Y Monthly),1.003
PE Ratio (TTM),16.732422
EPS (TTM),5.12
Earnings Date,1745957714
Forward Dividend & Yield,4.12 (4.81)
Ex-Dividend Date,1746403200
1y Target Est,106.35833
