Attribute,Value
Symbol,ORCL
Name,Oracle Corporation
Industry,Software - Infrastructure
Sector,Technology
Country,United States
Market Cap,450050883584
Description,"Oracle Corporation offers products and services that address enterprise information technology environments worldwide. Its Oracle cloud software as a service offering include various cloud software applications, including Oracle Fusion cloud enterprise resource planning (ERP), Oracle Fusion cloud enterprise performance management, Oracle Fusion cloud supply chain and manufacturing management, Oracle Fusion cloud human capital management, Oracle Cerner healthcare, and NetSuite applications suite, as well as Oracle Fusion Sales, Service, and Marketing. The company also offers cloud-based industry solutions for various industries; Oracle application licenses; and Oracle license support services. In addition, it provides cloud and license business' infrastructure technologies, such as the Oracle Database and MySQL Database; Java, a software development language; and middleware, including development tools and others. The company's cloud and license business' infrastructure technologies also comprise cloud-based compute, storage, and networking capabilities; and Oracle autonomous database and MySQL HeatWave, as well as Internet-of-Things, digital assistant, and blockchain. Further, it provides hardware products and other hardware-related software offerings, including Oracle engineered systems, enterprise servers, storage solutions, industry-specific hardware, virtualization software, operating systems, management software, and related hardware services, as well as hardware support products; and consulting and customer services. The company markets and sells its cloud, license, hardware, support, and services offerings directly to businesses in various industries, government agencies, and educational institutions, as well as through indirect channels. Oracle Corporation was founded in 1977 and is headquartered in Austin, Texas."
Website,https://www.oracle.com
Full Time Employees,159000
Currency,USD
Previous Close,159.4
Open,160.0
Bid,157.85
Ask,160.02
Day's Range,158.52 - 160.84
52 Week Range,114.55 - 198.31
Volume,6148543
Avg. Volume,10529439
Market Cap (intraday),450050883584
Beta (5Y Monthly),1.276
PE Ratio (TTM),37.762356
EPS (TTM),4.25
Earnings Date,1741637107
Forward Dividend & Yield,2.0 (1.25)
Ex-Dividend Date,1744243200
1y Target Est,178.11765
