Attribute,Value
Symbol,ORLY
Name,"O'Reilly Automotive, Inc."
Industry,Auto Parts
Sector,Consumer Cyclical
Country,United States
Market Cap,78740111360
Description,"O'Reilly Automotive, Inc., together with its subsidiaries, operates as a retailer and supplier of automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States, Puerto Rico, Mexico, and Canada. The company provides new and remanufactured automotive hard parts and maintenance items, such as alternators, batteries, brake system components, belts, chassis parts, driveline parts, engine parts, fuel pumps, hoses, starters, temperature control, water pumps, antifreeze, appearance products, engine additives, filters, fluids, lighting products, and oil and wiper blades; and accessories, including floor mats, seat covers, and truck accessories. It also offers auto body paint and related materials, automotive tools, and professional service provider service equipment. In addition, the company provides enhanced services and programs consisting used oil, oil filter, and battery recycling; battery, wiper, and bulb replacement; battery diagnostic testing; electrical and module testing; check engine light code extraction; loaner tool program; drum and rotor resurfacing; custom hydraulic hoses; and professional paint shop mixing and related materials. Further, it offers do-it-yourself and professional service for domestic and imported automobiles, vans, and trucks. The company offers its products under the BesTest, BrakeBest, Cartek, Import Direct, MasterPro, MicroGard, Murray, Omnispark, O'Reilly Auto Parts, Precision, PowerTorque, SuperStart, Syntec, and Ultima brands. O'Reilly Automotive, Inc. was founded in 1957 and is headquartered in Springfield, Missouri."
Website,https://www.oreillyauto.com
Full Time Employees,93419
Currency,USD
Previous Close,1370.13
Open,1373.18
Bid,1378.26
Ask,1384.29
Day's Range,1365.32 - 1382.44
52 Week Range,947.49 - 1458.37
Volume,322273
Avg. Volume,437958
Market Cap (intraday),78740111360
Beta (5Y Monthly),0.642
PE Ratio (TTM),33.89745
EPS (TTM),40.76
Earnings Date,1745440238
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,1457.483
