Attribute,Value
Symbol,PCG
Name,Pacific Gas & Electric Co.
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,39272546304
Description,"PG&E Corporation, through its subsidiary, Pacific Gas and Electric Company, engages in the sale and delivery of electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, fuel cell, and photovoltaic sources. The company owns and operates interconnected transmission lines; electric transmission substations, distribution lines, switching and distribution substations; and natural gas transmission, storage, and distribution system consisting of distribution pipelines, backbone and local transmission pipelines, and various storage facilities. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. PG&E Corporation was incorporated in 1905 and is based in Oakland, California."
Website,https://www.pgecorp.com
Full Time Employees,28410
Currency,USD
Previous Close,17.34
Open,17.45
Bid,17.83
Ask,17.84
Day's Range,17.42 - 17.95
52 Week Range,14.99 - 21.72
Volume,15626529
Avg. Volume,17416544
Market Cap (intraday),39272546304
Beta (5Y Monthly),0.629
PE Ratio (TTM),16.394495
EPS (TTM),1.09
Earnings Date,1745489103
Forward Dividend & Yield,0.1 (0.56)
Ex-Dividend Date,1743379200
1y Target Est,20.84353
