Attribute,Value
Symbol,PEG
Name,Public Service Enterprise Group
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,39565553664
Description,"Public Service Enterprise Group Incorporated, through its subsidiaries, operates in electric and gas utility, and nuclear generation businesses in the United States. It operates through PSE&G and PSEG Power segments. The PSE&G segment transmits electricity; distributes electricity and natural gas to residential, commercial, and industrial customers; and appliance services and repairs to customers through its service territory, as well as invests in solar generation projects, and energy efficiency and related programs. The PSEG Power segment engages in nuclear generation businesses; and supplies power and natural gas to nuclear power plants and gas storage facilities activities. As of December 31, 2024, it had electric transmission and distribution system of 25,000 circuit miles and 869,000 poles; 57 switching stations with an installed capacity of 40,000 megavolt-amperes (MVA), and 234 substations with an installed capacity of 10,750 MVA; four electric distribution headquarters and five electric sub-headquarters; 18,000 miles of gas mains, 12 gas distribution headquarters, two sub-headquarters, and two meter shop, as well as 54 natural gas metering and regulating stations; and 158 MegaWatts defined conditions of installed PV solar capacity. Public Service Enterprise Group Incorporated was founded in 1903 and is based in Newark, New Jersey."
Website,https://investor.pseg.com/home/default.aspx
Full Time Employees,13047
Currency,USD
Previous Close,78.44
Open,78.66
Bid,79.12
Ask,79.37
Day's Range,78.12 - 79.34
52 Week Range,71.89 - 95.22
Volume,3955934
Avg. Volume,3256431
Market Cap (intraday),39565553664
Beta (5Y Monthly),0.497
PE Ratio (TTM),21.663935
EPS (TTM),3.66
Earnings Date,1746012606
Forward Dividend & Yield,2.52 (3.18)
Ex-Dividend Date,1749427200
1y Target Est,86.25688
