Attribute,Value
Symbol,PG
Name,Procter & Gamble Company (The)
Industry,Household & Personal Products
Sector,Consumer Defensive
Country,United States
Market Cap,382816485376
Description,"The Procter & Gamble Company engages in the provision of branded consumer packaged goods worldwide. The company operates through five segments: Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine & Family Care. The Beauty segment offers conditioners, shampoos, styling aids, and treatments under the Head & Shoulders, Herbal Essences, Pantene, and Rejoice brands; and antiperspirants and deodorants, personal cleansing, and skin care products under the Olay, Old Spice, Safeguard, Secret, SK-II, and Native brands. The Grooming segment provides blades and razors, shave products, appliances, and other grooming products under the Braun, Gillette, and Venus brand names. The Health Care segment offers toothbrushes, toothpastes, and other oral care products under the Crest and Oral-B brand names; and gastrointestinal, pain relief, rapid diagnostics, respiratory, vitamins/minerals/supplements, and other personal health care products under Metamucil, Neurobion, Pepto-Bismol, and Vicks brands. The Fabric & Home Care segment provides fabric enhancers, laundry additives, and laundry detergents under the Ariel, Downy, Gain, and Tide brands; and air care, dish care, P&G professional, and surface care products under the Cascade, Dawn, Fairy, Febreze, Mr. Clean, and Swiffer brands. The Baby, Feminine & Family Care segment offers baby wipes, and taped diapers and pants under the Luvs and Pampers brands; adult incontinence and feminine care products under the Always, Always Discreet, and Tampax brands; and paper towels, tissues, and toilet papers under the Bounty, Charmin, and Puffs brands. It sells its products primarily through mass merchandisers, e-commerce, grocery stores, membership club stores, drug stores, department stores, distributors, wholesalers, specialty beauty stores, high-frequency stores, pharmacies, electronics stores, and professional channels, as well as directly to consumers. The company was founded in 1837 and is headquartered in Cincinnati, Ohio."
Website,https://www.pginvestor.com
Full Time Employees,108000
Currency,USD
Previous Close,162.41
Open,162.65
Bid,163.17
Ask,163.49
Day's Range,161.85 - 163.43
52 Week Range,156.58 - 180.43
Volume,7091798
Avg. Volume,8691660
Market Cap (intraday),382816485376
Beta (5Y Monthly),0.411
PE Ratio (TTM),25.91746
EPS (TTM),6.3
Earnings Date,1745492400
Forward Dividend & Yield,4.23 (2.59)
Ex-Dividend Date,1745193600
1y Target Est,171.50917
