Attribute,Value
Symbol,PH
Name,Parker-Hannifin Corporation
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,United States
Market Cap,86940155904
Description,"Parker-Hannifin Corporation manufactures and sells motion and control technologies and systems for various mobile, industrial, and aerospace markets worldwide. The company operates through two segments: Diversified Industrial and Aerospace Systems. The Diversified Industrial segment offers various motion-control systems and components, such as active and passive vibration control, high purity sealing, coatings, high temperature sealing, cryogenic valves and fittings, HVAC/R controls and monitoring, elastomeric, fabric reinforced, metal, precision cut seals, hydrogen and natural gas filters, electric and hydraulic pumps and motors, industrial air, gas filtration, electric and hydraulic valves, miniature pumps and valves, electromagnetic interface shielding, pneumatic actuators, regulators and valves, electromechanical and hydraulic actuators, power take offs, electronics, drives and controllers, process filtration solutions, engine filtration solutions, rubber to substrate adhesives, fluid condition monitoring, sensors and diagnostics, fluid conveyance hose and tubing, structural adhesives, high pressure connectors, fittings, valves and regulators, thermal management, high purity fittings. The Aerospace Systems segment offers products for use in commercial and defense airframe and engine programs, such as avionics, electric & hydraulic braking systems, electric power, electromechanical actuators, engine exhaust systems and components, fire detection and suppression, flight control systems, fluid conveyance, fuel systems & components, fuel tank inerting systems, hydraulic pumps & motors, hydraulic valves & actuators, pneumatics, seals, sensors, and thermal management products. The company sells its products to original equipment manufacturers, distributors, direct-sales employees, and sales representatives. Parker-Hannifin Corporation was founded in 1917 and is headquartered in Cleveland, Ohio."
Website,https://investors.parker.com
Full Time Employees,61120
Currency,USD
Previous Close,672.64
Open,676.3
Bid,679.74
Ask,680.46
Day's Range,671.4901 - 682.12
52 Week Range,488.45 - 718.44
Volume,457922
Avg. Volume,922087
Market Cap (intraday),86940155904
Beta (5Y Monthly),1.354
PE Ratio (TTM),26.1793
EPS (TTM),25.99
Earnings Date,1754569800
Forward Dividend & Yield,7.2 (1.06)
Ex-Dividend Date,1746748800
1y Target Est,710.967
