Attribute,Value
Symbol,PNW
Name,Pinnacle West Capital Corporati
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,10953664512
Description,"Pinnacle West Capital Corporation, through its subsidiary, provides retail and wholesale electric services primarily in the state of Arizona. The company engages in the generation, transmission, and distribution of electricity using nuclear, gas, oil, coal, and solar generating facilities. Its transmission facilities include overhead lines and underground lines; and distribution facilities consist of overhead lines and underground primary cables. The company also owns and maintains transmission and distribution substations; and owns energy storage facilities. Pinnacle West Capital Corporation was incorporated in 1985 and is headquartered in Phoenix, Arizona."
Website,https://www.pinnaclewest.com
Full Time Employees,6400
Currency,USD
Previous Close,90.52
Open,90.39
Bid,91.77
Ask,91.63
Day's Range,90.39 - 91.8
52 Week Range,74.45 - 96.5
Volume,1050600
Avg. Volume,1259592
Market Cap (intraday),10953664512
Beta (5Y Monthly),0.451
PE Ratio (TTM),18.166336
EPS (TTM),5.05
Earnings Date,1746103200
Forward Dividend & Yield,3.58 (3.9)
Ex-Dividend Date,1746403200
1y Target Est,95.71562
