Attribute,Value
Symbol,REG
Name,Regency Centers Corporation
Industry,REIT - Retail
Sector,Real Estate
Country,United States
Market Cap,13481230336
Description,"Regency Centers is a preeminent national owner, operator, and developer of shopping centers located in suburban trade areas with compelling demographics. Our portfolio includes thriving properties merchandised with highly productive grocers, restaurants, service providers, and best-in-class retailers that connect to their neighborhoods, communities, and customers. Operating as a fully integrated real estate company, Regency Centers is a qualified real estate investment trust (REIT) that is self-administered, self-managed, and an S&P 500 Index member."
Website,https://www.regencycenters.com
Full Time Employees,495
Currency,USD
Previous Close,72.59
Open,72.9
Bid,66.87
Ask,78.75
Day's Range,72.59 - 73.865
52 Week Range,58.19 - 78.18
Volume,874543
Avg. Volume,1135698
Market Cap (intraday),13481230336
Beta (5Y Monthly),1.031
PE Ratio (TTM),34.985783
EPS (TTM),2.11
Earnings Date,1745957700
Forward Dividend & Yield,2.82 (3.82)
Ex-Dividend Date,1749600000
1y Target Est,79.0
