Attribute,Value
Symbol,ROP
Name,"Roper Technologies, Inc."
Industry,Software - Application
Sector,Technology
Country,United States
Market Cap,62668345344
Description,"Roper Technologies, Inc. designs and develops vertical software and technology enabled products in the United States, Canada, Europe, Asia, and internationally. It operates through three segments: Application Software, Network Software, and Technology Enabled Products. The Application Software segment offers comprehensive management, diagnostic and laboratory information management, enterprise software and information solutions, K-12 school administration, transportation management, financial and compliance management, cloud-based and integrated payment processing, campus technology and payment, and cloud-based financial analytics and performance management software; cloud-based software for the property and casualty insurance industry; and foodservice technologies. The Network Software segment provides cloud-based data, collaboration, and estimating automation software; electronic marketplace; visual effects and 3D content software; cloud-based software for the life insurance and financial services industries; supply chain software; health care services and software; data analytics and information; and pharmacy software solutions. The Technology Enabled Products segment offers r ultrasound procedures accessories; dispensers and metering pumps; wireless sensor network and solutions; automated surgical scrub and linen dispensing equipment; water meters; optical and electromagnetic precision measurement systems; RFID card and credential readers; and medical devices. The company also provides autism and IDD care software, a software and services platform that helps therapists who serve children and adults diagnosed with autism spectrum disorder and related intellectual and developmental disabilities (IDD). The company distributes and sells its products through direct sales offices, manufacturers' representatives, resellers, and distributors. The company was formerly known as Roper Industries, Inc. and changed its name to Roper Technologies, Inc. in April 2015. The company was incorporated in 1981 and is based in Sarasota, Florida."
Website,https://www.ropertech.com
Full Time Employees,18200
Currency,USD
Previous Close,574.4
Open,579.01
Bid,582.22
Ask,583.47
Day's Range,574.805 - 583.02
52 Week Range,499.47 - 595.17
Volume,608345
Avg. Volume,640130
Market Cap (intraday),62668345344
Beta (5Y Monthly),1.08
PE Ratio (TTM),42.024513
EPS (TTM),13.87
Earnings Date,1745837700
Forward Dividend & Yield,3.3 (0.57)
Ex-Dividend Date,1743724800
1y Target Est,632.0444
