Attribute,Value
Symbol,ROST
Name,"Ross Stores, Inc."
Industry,Apparel Retail
Sector,Consumer Cyclical
Country,United States
Market Cap,50285293568
Description,"Ross Stores, Inc., together with its subsidiaries, operates off-price retail apparel and home fashion stores under the Ross Dress for Less and dd's DISCOUNTS brands in the United States. The company offers apparel, accessories, footwear, and home fashions products. It sells its products to middle income households and households with lower to more moderate incomes. Ross Stores, Inc. was incorporated in 1957 and is headquartered in Dublin, California."
Website,https://www.rossstores.com
Full Time Employees,107000
Currency,USD
Previous Close,151.89
Open,151.89
Bid,144.19
Ask,160.26
Day's Range,150.88 - 153.11
52 Week Range,122.36 - 163.6
Volume,2047671
Avg. Volume,3223133
Market Cap (intraday),50285293568
Beta (5Y Monthly),1.177
PE Ratio (TTM),24.196201
EPS (TTM),6.32
Earnings Date,1747944000
Forward Dividend & Yield,1.62 (1.06)
Ex-Dividend Date,1742256000
1y Target Est,155.9275
