Attribute,Value
Symbol,SWK
Name,"Stanley Black & Decker, Inc."
Industry,Tools & Accessories
Sector,Industrials
Country,United States
Market Cap,11055790080
Description,"Stanley Black & Decker, Inc. provides hand tools, power tools, outdoor products, and related accessories in the United States, Canada, Other Americas, Europe, and Asia. The company's Tools & Outdoor segment offers professional grade corded and cordless electric power tools and equipment, including drills, impact wrenches and drivers, grinders, saws, routers, concrete prep and placement tools, and sanders; pneumatic tools and fasteners, such as nail guns, nails, staplers and staples, and concrete and masonry anchors; corded and cordless electric power tools; hand-held vacuums, paint tools, and cleaning appliances; leveling and layout tools, planes, hammers, demolition tools, clamps, vises, knives, saws, chisels, and industrial and automotive tools; drill, screwdriver, router bits, abrasives, saw blades, and threading products; tool boxes, sawhorses, medical cabinets, and engineered storage solutions; and electric and gas-powered lawn and garden products. This segment sells its products under the DEWALT, CRAFTSMAN, CUB ADET, BLACK+DECKER, and HUSTLER brands through retailers, third-party distributors, independent dealers, and a direct sales force. Its Industrial segment provides threaded fasteners, blind rivets and tools, blind inserts and tools, drawn arc weld studs and systems, engineered plastic and mechanical fasteners, self-piercing riveting systems, precision nut running systems, micro fasteners, high-strength structural fasteners, axel swage, latches, heat shields, pins, couplings, fitting, and other engineered products; and attachments used on excavators and handheld tools. This segment sells its products through direct sales force and third-party distributors to the automotive, manufacturing, electronics, construction, aerospace, and other industries. The company was formerly known as The Stanley Works and changed its name to Stanley Black & Decker, Inc. in March 2010. The company was founded in 1843 and is headquartered in New Britain, Connecticut."
Website,https://www.stanleyblackanddecker.com
Full Time Employees,48000
Currency,USD
Previous Close,70.7
Open,70.95
Bid,71.6
Ask,71.46
Day's Range,70.69 - 71.71
52 Week Range,53.91 - 110.88
Volume,1677259
Avg. Volume,2776688
Market Cap (intraday),11055790080
Beta (5Y Monthly),1.19
PE Ratio (TTM),30.279661
EPS (TTM),2.36
Earnings Date,1746007211
Forward Dividend & Yield,3.28 (4.59)
Ex-Dividend Date,1748908800
1y Target Est,85.585
