Attribute,Value
Symbol,TRMB
Name,Trimble Inc.
Industry,Scientific & Technical Instruments
Sector,Technology
Country,United States
Market Cap,17152019456
Description,"Trimble Inc. provides technology solutions that enable professionals and field mobile workers to enhance or transform their work processes in North America, Europe, the Asia Pacific, and internationally. The company offers architecture design, engineering, construction, and owner software products. It also provides field-based data collection systems and field software, and real-time communications systems, as well as back-office software for data processing, modeling, monitoring, reporting, and analysis; office-based products, including software for planning, data processing and editing, quality control, 3D modeling, intelligent data analysis and AI-based feature extraction, deformation monitoring, project reporting, and data export; field and office software for project design and visualization; software for 3D design and data sharing; systems to guide and control construction equipment; and software to facilitate the management of the construction process. In addition, the company offers positioning services comprising VRSNow; CenterPoint RTX; FieldPoint RTX; Rangepoint RTX; ViewPoint RTX; Trimble xFill; and OmniSTAR (HP, XP, G2, and VBS) services. Further, it provides transportation management system that automates business processes for shippers, carriers, and intermediaries, delivering visibility, control, and decision support, as well as truck routing, mileage, mapping, and voice navigation solutions; and transporeon solutions that offers freight sourcing and procurement, including dock and yard management, and freight auditing. It serves architecture, engineering, construction, design, asset management, operations, and maintenance; private, commercial, and government; and shippers, carriers, and intermediaries customers. The company was formerly known as Trimble Navigation Limited and changed its name to Trimble Inc. in October 2016. Trimble Inc. was founded in 1978 and is headquartered in Westminster, Colorado."
Website,https://www.trimble.com
Full Time Employees,12100
Currency,USD
Previous Close,71.24
Open,71.24
Bid,71.81
Ask,71.99
Day's Range,70.825 - 72.04
52 Week Range,48.65 - 77.78
Volume,980750
Avg. Volume,1737588
Market Cap (intraday),17152019456
Beta (5Y Monthly),1.677
PE Ratio (TTM),11.727569
EPS (TTM),6.13
Earnings Date,1746615308
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,83.771
