Attribute,Value
Symbol,TSLA
Name,"Tesla, Inc."
Industry,Auto Manufacturers
Sector,Consumer Cyclical
Country,United States
Market Cap,1127271628800
Description,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive; and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners. This segment also provides services and repairs to its energy product customers, including under warranty; and various financing options to its residential customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas."
Website,https://www.tesla.com
Full Time Employees,125665
Currency,USD
Previous Close,342.82
Open,346.065
Bid,328.7
Ask,363.64
Day's Range,342.33 - 351.62
52 Week Range,167.41 - 488.54
Volume,90797726
Avg. Volume,122365349
Market Cap (intraday),1127271628800
Beta (5Y Monthly),2.434
PE Ratio (TTM),199.98857
EPS (TTM),1.75
Earnings Date,1745352420
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,291.90332
