Attribute,Value
Symbol,TXN
Name,Texas Instruments Incorporated
Industry,Semiconductors
Sector,Technology
Country,United States
Market Cap,171246977024
Description,"Texas Instruments Incorporated designs, manufactures, and sells semiconductors to electronics designers and manufacturers in the United States, China, rest of Asia, Europe, Middle East, Africa, Japan, and internationally. The company operates through Analog and Embedded Processing segments. The Analog segment offers power products to manage power requirements across various voltage levels, including battery-management solutions, DC/DC switching regulators, AC/DC and isolated controllers and converters, power switches, linear regulators, voltage references, and lighting products. This segment provides signal chain products that sense, condition, and measure signals to allow information to be transferred or converted for further processing and control, including amplifiers, data converters, interface products, motor drives, clocks, and logic and sensing products. The Embedded Processing segment offers microcontrollers, processors, wireless connectivity and radar products; and applications processors for specific computing activity. This segment offers products for use in various markets, such as industrial, automotive, personal electronics, communications equipment, enterprise systems, and calculators and other. It provides DLP products primarily for use in project high-definition images; calculators; and application-specific integrated circuits. The company markets and sells its semiconductor products through direct sales and distributors, as well as through its website. The company was founded in 1930 and is headquartered in Dallas, Texas."
Website,https://www.ti.com
Full Time Employees,34000
Currency,USD
Previous Close,187.83
Open,189.31
Bid,188.3
Ask,188.67
Day's Range,186.81 - 189.31
52 Week Range,139.95 - 220.39
Volume,4433697
Avg. Volume,8327190
Market Cap (intraday),171246977024
Beta (5Y Monthly),0.955
PE Ratio (TTM),35.700756
EPS (TTM),5.28
Earnings Date,1745438463
Forward Dividend & Yield,5.44 (2.89)
Ex-Dividend Date,1745971200
1y Target Est,178.54832
