Attribute,Value
Symbol,ULTA
Name,"Ulta Beauty, Inc."
Industry,Specialty Retail
Sector,Consumer Cyclical
Country,United States
Market Cap,18645630976
Description,"Ulta Beauty, Inc. operates as a specialty beauty retailer in the United States. The company offers branded and private label beauty products, including cosmetics, fragrance, haircare, skincare, bath and body products, professional hair products, and salon styling tools through its Ulta Beauty stores, shop-in-shops, Ulta.com website, and its mobile applications. It also provides beauty services, including hair, makeup, brow, and skin services at its stores. The company was formerly known as ULTA Salon, Cosmetics & Fragrance, Inc. and changed its name to Ulta Beauty, Inc. in January 2017. Ulta Beauty, Inc. was incorporated in 1990 and is based in Bolingbrook, Illinois."
Website,https://www.ulta.com
Full Time Employees,20000
Currency,USD
Previous Close,411.74
Open,413.58
Bid,390.45
Ask,439.04
Day's Range,409.41 - 414.99
52 Week Range,309.01 - 460.0
Volume,407595
Avg. Volume,1012274
Market Cap (intraday),18645630976
Beta (5Y Monthly),1.057
PE Ratio (TTM),16.285093
EPS (TTM),25.36
Earnings Date,1748548800
Forward Dividend & Yield,
Ex-Dividend Date,1331856000
1y Target Est,414.5975
