Attribute,Value
Symbol,UNP
Name,Union Pacific Corporation
Industry,Railroads
Sector,Industrials
Country,United States
Market Cap,138267885568
Description,"Union Pacific Corporation, through its subsidiary, Union Pacific Railroad Company, operates in the railroad business in the United States. It offers transportation services for grain and grain products, fertilizers, food and refrigerated products, and coal and renewables to grain processors, animal feeders, and ethanol and renewable biofuel producers; and construction products, industrial chemicals, plastics, forest products, specialized products, metals and ores, petroleum, liquid petroleum gases, soda ash, and sand, as well as finished automobiles, automotive parts, and merchandise in intermodal containers. The company was founded in 1862 and is headquartered in Omaha, Nebraska."
Website,https://www.up.com
Full Time Employees,30146
Currency,USD
Previous Close,230.85
Open,231.33
Bid,231.34
Ask,231.0
Day's Range,230.18 - 231.97
52 Week Range,204.66 - 258.07
Volume,2006785
Avg. Volume,3147892
Market Cap (intraday),138267885568
Beta (5Y Monthly),1.068
PE Ratio (TTM),20.829884
EPS (TTM),11.11
Earnings Date,1745495100
Forward Dividend & Yield,5.36 (2.32)
Ex-Dividend Date,1748563200
1y Target Est,242.79037
