Attribute,Value
Symbol,VLO
Name,Valero Energy Corporation
Industry,Oil & Gas Refining & Marketing
Sector,Energy
Country,United States
Market Cap,42514587648
Description,"Valero Energy Corporation manufactures, markets, and sells petroleum-based and low-carbon liquid transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, Latin America, Mexico, Peru, and internationally. It operates through three segments: Refining, Renewable Diesel, and Ethanol. The company produces California Reformulated Gasoline Blendstock for Oxygenate Blending (CARBOB) and Conventional Blendstock for Oxygenate Blending (CBOB) gasolines, CARB diesel, diesel, jet fuel, heating oil, and asphalt; feedstocks; aromatics; sulfur and residual fuel oil; intermediate oils; and sulfur, sweet, and sour crude oils. It sells its refined products through wholesale rack and bulk markets; and through outlets under the Valero, Beacon, Diamond Shamrock, Shamrock, Ultramar, and Texaco brand names. The company owns and operates renewable diesel and ethanol plants, as well as produces renewable diesel and naphtha under the Diamond Green Diesel brand name. In addition, it offers ethanol and various co-products, including dry distiller grains, syrup, and inedible distillers corn oil to animal feed customers. The company was formerly known as Valero Refining and Marketing Company and changed its name to Valero Energy Corporation in August 1997. Valero Energy Corporation was founded in 1980 and is headquartered in San Antonio, Texas."
Website,https://www.valero.com
Full Time Employees,9898
Currency,USD
Previous Close,135.37
Open,135.71
Bid,135.77
Ask,135.98
Day's Range,134.1 - 136.07
52 Week Range,99.0 - 167.78
Volume,2224401
Avg. Volume,3630414
Market Cap (intraday),42514587648
Beta (5Y Monthly),0.947
PE Ratio (TTM),46.327644
EPS (TTM),2.93
Earnings Date,1745490600
Forward Dividend & Yield,4.52 (3.33)
Ex-Dividend Date,1747699200
1y Target Est,143.2225
