Attribute,Value
Symbol,WBA
Name,"Walgreens Boots Alliance, Inc."
Industry,Pharmaceutical Retailers
Sector,Healthcare
Country,United States
Market Cap,9762891776
Description,"Walgreens Boots Alliance, Inc. operates as a healthcare, pharmacy, and retail company in the United States, Germany, the United Kingdom, and internationally. It operates through three segments: U.S. Retail Pharmacy, International, and U.S. Healthcare. The U.S. Retail Pharmacy segment engages in operation of the retail drugstores, health and wellness services, specialty, and home delivery pharmacy services, which offers health and wellness, beauty, personal care and consumables, and general merchandise. The International segment offers sale of prescription drugs and health and wellness, beauty, personal care, and other consumer products outside the United States; and operates pharmacy-led health and beauty retail businesses under the Boots brand stores in the United Kingdom, the Republic of Ireland, and Thailand, as well as the Benavides brand in Mexico and the Ahumada brand in Chile. The U.S. Healthcare segment provides VillageMD, a national provider of value-based care with primary, multi-specialty, and urgent care providers serving patients in traditional clinic settings, in patients' homes and online appointments; Shields, a specialty pharmacy integrator and accelerator for hospitals; and CareCentrix, a participant in the post-acute and home care management sectors. Walgreens Boots Alliance, Inc. was founded in 1909 and is headquartered in Deerfield, Illinois."
Website,https://www.walgreensbootsalliance.com
Full Time Employees,193000
Currency,USD
Previous Close,11.18
Open,11.19
Bid,10.59
Ask,11.76
Day's Range,11.18 - 11.31
52 Week Range,8.08 - 18.17
Volume,5703515
Avg. Volume,17962242
Market Cap (intraday),9762891776
Beta (5Y Monthly),0.739
PE Ratio (TTM),
EPS (TTM),-6.69
Earnings Date,1744110000
Forward Dividend & Yield,1.0 (8.86)
Ex-Dividend Date,1731888000
1y Target Est,12.2925
