Attribute,Value
Symbol,WST
Name,"West Pharmaceutical Services, I"
Industry,Medical Instruments & Supplies
Sector,Healthcare
Country,United States
Market Cap,15564587008
Description,"West Pharmaceutical Services, Inc. designs, manufactures, and sells containment and delivery systems for injectable drugs and healthcare products in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates in two segments, Proprietary Products and Contract-Manufactured Products. The Proprietary Products segment offers stoppers and seals for injectable packaging systems; syringe and cartridge components, including custom solutions for the needs of injectable drug applications, as well as administration systems that enhance the safe delivery of drugs through advanced reconstitution, mixing, and transfer technologies; and films, coatings, washing, and vision inspection and sterilization processes and services to enhance the quality of packaging products. This segment also provides drug containment solutions, including Crystal Zenith, a cyclic olefin polymer in the form of vials, syringes, and cartridges; and self-injection devices; and a range of integrated solutions, including analytical lab services, pre-approval primary packaging support and engineering development, regulatory expertise, and after-sales technical support. This segment serves biologic, generic, and pharmaceutical drug companies. The Contract-Manufactured Products segment is involved in the design, manufacture, and automated assembly of devices used in surgical, diagnostic, ophthalmic, injectable, and other drug delivery systems, as well as consumer products. This segment primarily serves pharmaceutical, diagnostic, and medical device companies. It sells and distributes its products through its sales force and distribution network, contract sales agents, and regional distributors. West Pharmaceutical Services, Inc. was founded in 1923 and is headquartered in Exton, Pennsylvania."
Website,https://www.westpharma.com
Full Time Employees,10600
Currency,USD
Previous Close,210.68
Open,211.5
Bid,201.72
Ask,219.66
Day's Range,208.68 - 216.68
52 Week Range,187.43 - 355.66
Volume,620151
Avg. Volume,1052298
Market Cap (intraday),15564587008
Beta (5Y Monthly),1.142
PE Ratio (TTM),34.00942
EPS (TTM),6.37
Earnings Date,1745488809
Forward Dividend & Yield,0.84 (0.39)
Ex-Dividend Date,1753833600
1y Target Est,281.9191
