Attribute,Value
Symbol,WTW
Name,Willis Towers Watson Public Lim
Industry,Insurance Brokers
Sector,Financial Services
Country,United Kingdom
Market Cap,30927796224
Description,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth & Career and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs, including medical, dental, disability, life, voluntary benefits, and other coverages; actuarial support, plan design, and administrative services for pension and retirement savings plans; retirement consulting services and solutions; and integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, affinity, risk and analytics, aerospace, construction, global markets direct and facultative, financial, executive and professional risks, financial solutions, crisis management, surety, marine, and natural resources. In addition, the company offers software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, M&A, outsourcing, and business management services. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom."
Website,https://www.wtwco.com
Full Time Employees,49000
Currency,USD
Previous Close,310.01
Open,310.01
Bid,311.5
Ask,312.47
Day's Range,309.4805 - 312.82
52 Week Range,248.09 - 344.14
Volume,534301
Avg. Volume,687698
Market Cap (intraday),30927796224
Beta (5Y Monthly),0.738
PE Ratio (TTM),
EPS (TTM),-0.47
Earnings Date,1745489100
Forward Dividend & Yield,3.68 (1.18)
Ex-Dividend Date,1743379200
1y Target Est,365.32352
