Attribute,Value
Symbol,ZBRA
Name,Zebra Technologies Corporation
Industry,Communication Equipment
Sector,Technology
Country,United States
Market Cap,15287819264
Description,"Zebra Technologies Corporation, together with its subsidiaries, provides enterprise asset intelligence solutions in the automatic identification and data capture solutions industry worldwide. It operates in two segments, Asset Intelligence & Tracking, and Enterprise Visibility & Mobility. The company designs, manufactures, and sells printers that produce labels, wristbands, tickets, receipts, and plastic cards; dye-sublimination thermal card printers that produce images, which are used for personal identification, access control, and financial transactions; radio frequency identification device (RFID) printers that encode data into passive RFID transponders; accessories and options for printers, including carrying cases, vehicle mounts, and battery chargers; stock and customized thermal labels, wristbands, receipts, ribbons, plastic cards, and RFID tags for printers; and electronic sensors and temperature-monitoring labels. It also provides various maintenance, technical support, repair, and managed and professional services; fixed readers, RFID enabled mobile computers, and RFID sleds; tags, sensors, exciters, middleware software, and application software; and physical inventory management solutions, and rugged and enterprise-grade mobile computing products and accessories, as well as real-time location systems and services. In addition, the company offers barcode scanners and imagers, RFID readers, industrial machine vision cameras, and fixed industrial scanners; workforce management, workflow execution and task management, and prescriptive analytics, as well as communications and collaboration solutions; and cloud-based software subscriptions, retail, and robotics automation solutions. The company serves retail and e-commerce, manufacturing, transportation and logistics, healthcare, public sector, and other industries through direct sales force and network of channel partners. The company was founded in 1969 and is headquartered in Lincolnshire, Illinois."
Website,https://www.zebra.com
Full Time Employees,9900
Currency,USD
Previous Close,298.35
Open,297.94
Bid,276.44
Ask,321.19
Day's Range,295.0907 - 301.13
52 Week Range,205.73 - 427.76
Volume,406253
Avg. Volume,694079
Market Cap (intraday),15287819264
Beta (5Y Monthly),1.746
PE Ratio (TTM),28.413988
EPS (TTM),10.58
Earnings Date,1754397000
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,317.67175
