timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,56.0,64.0,52.0,54.0
1412121600,56.0,64.0,52.0,54.0
1414800000,56.0,64.0,52.0,54.0
1417392000,56.0,64.0,52.0,54.0
1420070400,56.0,64.0,52.0,54.0
1422748800,56.0,64.0,52.0,54.0
1425168000,57.0,64.0,55.0,54.0
1427846400,57.0,64.0,55.0,54.0
1430438400,57.0,64.0,55.0,54.0
1433116800,57.0,64.0,55.0,54.0
1435708800,57.0,64.0,55.0,54.0
1438387200,56.0,64.0,56.0,51.0
1441065600,56.0,64.0,56.0,51.0
1443657600,56.0,64.0,56.0,51.0
1446336000,56.0,64.0,56.0,51.0
1448928000,56.0,64.0,56.0,51.0
1451606400,55.88,64.15,56.16,51.11
1454284800,55.88,64.15,56.16,51.11
1456790400,55.88,64.15,56.16,51.11
1459468800,54.26,64.15,56.17,47.5
1462060800,54.26,64.15,56.17,47.5
1464739200,53.76,64.15,54.5,47.5
1467331200,52.51,64.15,50.33,47.5
1470009600,52.01,65.4,50.33,45.69
1472688000,52.01,65.4,50.33,45.69
1475280000,52.01,65.4,50.33,45.69
1477958400,52.01,65.4,50.33,45.69
1480550400,52.01,65.4,50.33,45.69
1483228800,50.3,65.4,50.33,41.88
1485907200,50.3,65.4,50.33,41.88
1488326400,50.3,65.4,50.33,41.88
1491004800,50.3,65.4,50.33,41.88
1493596800,50.3,65.4,50.33,41.88
1496275200,50.3,65.4,50.33,41.88
1498867200,50.3,65.4,50.33,41.88
1501545600,50.3,65.4,50.33,41.88
1504224000,52.97,65.23,56.83,43.58
1506816000,53.95,60.73,57.67,47.71
1509494400,53.95,60.73,57.67,47.71
1512086400,53.95,60.73,57.67,47.71
1514764800,53.95,60.73,57.67,47.71
1517443200,53.95,60.73,57.67,47.71
1519862400,53.95,60.73,57.67,47.71
1522540800,53.95,60.73,57.67,47.71
1525132800,53.95,60.73,57.67,47.71
1527811200,53.95,60.73,57.67,47.71
1530403200,53.95,60.73,57.67,47.71
1533081600,53.95,60.73,57.67,47.71
1535760000,53.95,60.73,57.67,47.71
1538352000,54.93,59.63,61.83,47.71
1541030400,54.93,59.63,61.83,47.71
1543622400,54.93,59.63,61.83,47.71
1546300800,54.93,59.63,61.83,47.71
1548979200,57.77,62.43,63.17,51.57
1551398400,57.7,62.43,63.17,51.42
1554076800,57.7,62.43,63.17,51.42
1556668800,57.7,62.43,63.17,51.42
1559347200,57.7,62.43,63.17,51.42
1561939200,57.7,62.43,63.17,51.42
1564617600,57.7,62.43,63.17,51.42
1567296000,57.7,62.43,63.17,51.42
1569888000,57.85,63.03,63.17,51.42
1572566400,56.75,63.03,59.5,51.42
1575158400,14.81,6.44,0.07,8.3
1577836800,14.81,6.44,0.07,8.3
1580515200,14.81,6.44,0.07,8.3
1583020800,14.52,6.15,0.07,8.3
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,12.4,5.66,0.07,6.67
1596240000,12.4,5.66,0.07,6.67
1598918400,,,,
1601510400,12.82,5.68,0.07,7.07
1604188800,,,,
1606780800,,,,
1609459200,12.82,5.68,0.07,7.07
1612137600,12.82,5.68,0.07,7.07
1614556800,12.58,5.44,0.07,7.07
1617235200,,,,
1619827200,12.58,5.44,0.07,7.07
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,13.68,5.44,1.07,7.18
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,14.18,5.94,1.07,7.18
1646092800,,,,
1648771200,,,,
1651363200,13.97,5.94,1.07,6.96
1654041600,,,,
1656633600,,,,
1659312000,13.97,5.94,1.07,6.96
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,,,,
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,13.82,5.49,2.8,5.54
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,15.12,3.74,4.01,7.37
1730419200,15.12,3.74,4.01,7.37
1733011200,15.12,3.74,4.01,7.37
1735689600,15.12,3.74,4.01,7.37
1738368000,15.12,3.74,4.01,7.37
1740787200,15.12,3.74,4.01,7.37
1743465600,15.12,3.74,4.01,7.37
1746057600,15.12,3.74,4.01,7.37
