timestamp,esgScore,governanceScore,environmentScore,socialScore
1409529600,68.0,81.0,57.0,71.0
1412121600,67.0,81.0,57.0,71.0
1414800000,67.0,79.0,57.0,71.0
1417392000,67.0,79.0,57.0,71.0
1420070400,65.0,80.0,54.0,67.0
1422748800,65.0,80.0,54.0,67.0
1425168000,65.0,77.0,55.0,67.0
1427846400,67.0,77.0,59.0,68.0
1430438400,67.0,77.0,59.0,68.0
1433116800,67.0,77.0,59.0,68.0
1435708800,67.0,77.0,59.0,68.0
1438387200,67.0,77.0,59.0,68.0
1441065600,67.0,77.0,59.0,68.0
1443657600,66.0,77.0,58.0,68.0
1446336000,66.0,77.0,58.0,68.0
1448928000,67.0,77.0,59.0,68.0
1451606400,66.54,77.05,58.61,68.1
1454284800,65.54,71.25,60.04,67.75
1456790400,65.54,71.25,60.04,67.75
1459468800,64.76,71.25,60.69,64.78
1462060800,64.76,71.25,60.69,64.78
1464739200,64.5,71.25,60.03,64.78
1467331200,65.03,71.25,61.35,64.78
1470009600,65.03,71.25,61.35,64.78
1472688000,64.98,71.25,61.35,64.64
1475280000,64.98,71.25,61.35,64.64
1477958400,64.98,71.25,61.35,64.64
1480550400,64.98,71.25,61.35,64.64
1483228800,65.89,72.37,61.3,66.51
1485907200,65.89,72.37,61.3,66.51
1488326400,65.89,72.37,61.3,66.51
1491004800,65.9,72.21,61.3,66.66
1493596800,64.05,72.21,56.67,66.66
1496275200,64.05,72.21,56.67,66.66
1498867200,64.05,72.21,56.67,66.66
1501545600,64.05,72.21,56.67,66.66
1504224000,64.05,72.21,56.67,66.66
1506816000,62.52,67.34,55.9,66.66
1509494400,62.52,67.34,55.9,66.66
1512086400,62.52,67.34,55.9,66.66
1514764800,62.52,67.34,55.9,66.66
1517443200,62.52,67.34,55.9,66.66
1519862400,62.52,67.34,55.9,66.66
1522540800,63.47,70.74,56.13,66.66
1525132800,63.47,70.74,56.13,66.66
1527811200,61.47,65.87,53.79,67.1
1530403200,61.47,65.87,53.79,67.1
1533081600,61.47,65.87,53.79,67.1
1535760000,61.47,65.87,53.79,67.1
1538352000,61.47,65.87,53.79,67.1
1541030400,61.58,66.32,53.79,67.1
1543622400,61.58,66.32,53.79,67.1
1546300800,61.58,66.32,53.79,67.1
1548979200,61.48,66.32,53.55,67.1
1551398400,61.42,65.09,54.16,67.1
1554076800,61.42,65.09,54.16,67.1
1556668800,61.42,65.09,54.16,67.1
1559347200,61.38,65.09,54.16,67.0
1561939200,61.38,65.09,54.16,67.0
1564617600,61.38,65.09,54.16,67.0
1567296000,61.38,65.09,54.16,67.0
1569888000,61.38,65.09,54.16,67.0
1572566400,58.19,63.49,48.47,65.53
1575158400,57.82,64.39,47.05,65.44
1577836800,37.26,8.67,19.68,8.91
1580515200,37.26,8.67,19.68,8.91
1583020800,37.26,8.67,19.68,8.91
1585699200,,,,
1588291200,,,,
1590969600,,,,
1593561600,36.72,8.72,19.09,8.91
1596240000,36.72,8.72,19.09,8.91
1598918400,,,,
1601510400,36.74,8.74,19.09,8.91
1604188800,,,,
1606780800,,,,
1609459200,36.74,8.74,19.09,8.91
1612137600,36.74,8.74,19.09,8.91
1614556800,36.74,8.74,19.09,8.91
1617235200,,,,
1619827200,36.74,8.74,19.09,8.91
1622505600,,,,
1625097600,,,,
1627776000,,,,
1630454400,37.21,8.9,19.09,9.21
1633046400,,,,
1635724800,,,,
1638316800,,,,
1640995200,,,,
1643673600,29.4,7.96,15.86,5.58
1646092800,,,,
1648771200,,,,
1651363200,28.79,7.96,15.53,5.3
1654041600,,,,
1656633600,,,,
1659312000,28.8,7.73,15.53,5.54
1661990400,,,,
1664582400,,,,
1667260800,,,,
1669852800,,,,
1672531200,28.8,7.73,15.53,5.54
1675209600,,,,
1677628800,,,,
1680307200,,,,
1682899200,,,,
1685577600,,,,
1688169600,,,,
1690848000,,,,
1693526400,26.57,6.33,15.39,4.85
1696118400,,,,
1698796800,,,,
1701388800,,,,
1704067200,,,,
1706745600,,,,
1709251200,,,,
1711929600,,,,
1714521600,,,,
1717200000,,,,
1719792000,,,,
1722470400,,,,
1725148800,,,,
1727740800,,,,
1730419200,20.11,4.49,11.83,3.79
1733011200,20.11,4.49,11.83,3.79
1735689600,20.11,4.49,11.83,3.79
1738368000,20.11,4.49,11.83,3.79
1740787200,20.11,4.49,11.83,3.79
1743465600,20.11,4.49,11.83,3.79
1746057600,20.11,4.49,11.83,3.79
